Uid,Street,City,Region code,PostalCode,Country code,Label
1,4712 Cedarstone Drive,Toledo,OH,43604,US,Primary address
2,787 Robinson Court,Saginaw,MI,48607,US,Second address
3,1859 Black Oak Hollow Road,San Jose,CA,95113,US,Primary address
4,2574 Broadway Avenue,Kingsport,TN,37660,US,Second address
5,679 Pearl Street,Sacramento,CA,95815,US,Primary address
6,2186 Poe Road,Pinehurst,TX,77362,US,Second address
7,2620 Oakmound Drive,Hickory Hills,IL,60457,US,Primary address
8,3291 Hott Street,Oklahoma City,OK,73102,US,Second address
9,37 Lodgeville Road,Eagan,MN,55121,US,Primary address
10,2450 Grasselli Street,New Boston,NH,3070,US,Primary address
11,1927 Steve Hunt Road,Miami,FL,33176,US,Second address
12,1798 Bryan Avenue,Minneapolis,MN,55404,US,Primary address
13,1388 Forest Drive,Mclean,VA,22101,US,Second address
14,2424 Elk Creek Road,Smyrna,GA,30080,US,Primary address
15,1858 Summit Park Avenue,Bloomfield Township,MI,48302,US,Primary address
16,2493 Hillside Drive,Bedford,MA,1730,US,Primary address
17,2241 Norma Avenue,Dayton,OH,45402,US,Second address
18,2928 Bryan Street,Greensboro,NC,27407,US,Primary address
19,510 Dogwood Road,Phoenix,AZ,85040,US,Second address
20,3609 Hickory Heights Drive,Hanover,MD,21076,US,Primary address
21,4015 Daffodil Lane,Arlington,VA,22202,US,Second address
22,888 Oakridge Lane,Dallas,TX,75207,US,Primary address
23,2209 Blue Spruce Lane,Cockeysville,MD,21030,US,Primary address
24,3439 Francis Mine,Central Valley,CA,96019,US,Primary address
25,198 Masonic Drive,Billings,MT,59102,US,Second address
26,1805 Elm Drive,New York,NY,10018,US,Primary address
27,1783 Sycamore Street,Santa Clara,CA,95054,US,Second address
28,4076 Little Street,Tallmadge,OH,44278,US,Primary address
29,4885 Timberbrook Lane,Greeley,CO,80631,US,Second address
30,1530 Bailey Drive,Cedar Rapids,IA,52401,US,Primary address
31,1051 Fincham Road,San Diego,CA,92103,US,Primary address
32,2198 Burke Street,Boston,MA,2210,US,Primary address
33,3863 Copperhead Road,Hartford,CT,6103,US,Second address
34,2227 Kembery Drive,Lombard,IL,60148,US,Primary address
35,1620 Settlers Lane,New York,NY,10007,US,Primary address
36,4841 Morningview Lane,New York,NY,10007,US,Second address
37,879 Franklin Avenue,Lake City,FL,32025,US,Primary address
38,2366 Laurel Lane,Midland,TX,79701,US,Primary address
39,239 Maple Street,Santa Ana,CA,92705,US,Primary address
40,4159 Dawson Drive,Little Rock,AR,72211,US,Primary address
41,3909 Monroe Street,Houston,TX,77026,US,Primary address
42,4562 Badger Pond Lane,Tampa,FL,33634,US,Primary address
43,2671 Hope Street,Mesquite,TX,75149,US,Primary address
44,204 Radford Street,Louisville,KY,40203,US,Second address
45,2878 Mount Street,Mount Pleasant,MI,48858,US,Second address
46,2495 Stratford Drive,Wailuku,HI,96793,US,Primary address
47,3500 Saints Alley,Tampa,FL,33610,US,Second address
48,150 Franklee Lane,Conshohocken,PA,19428,US,Second address
49,1614 Duffy Street,Elmhurst,IN,60126,US,Second address
50,3609 Sycamore Street,San Jose,CA,95129,US,Primary address
