Uid,Organization uid,Owner uid,Company,Shipping Address uid,Billing Address uid,Contact uid,Channel uid
1,1,1,Life Plan Counselling,1,1,1,1
2,1,2,Big D Supermarkets,2,2,2,1
3,1,3,Cherry & Webb,3,3,3,1
4,1,4,National Lumber,4,4,4,1
5,1,5,Rainbow Bay Crafts,5,5,5,1
6,1,6,Jewel Mart,6,6,6,1
7,1,7,Rickel,7,7,7,1
8,1,8,Joshua Doore,8,8,8,1
9,1,9,Liberty Wealth Planner,9,9,9,1
10,1,10,Lazysize,10,10,10,1
11,1,11,Super Shops,11,11,11,1
12,1,12,Kinney Shoes,12,12,12,1
13,1,13,Boston Sea Party,13,13,13,1
14,1,14,Chandler's,14,14,14,1
15,1,15,Boston Sea Party,15,15,15,1
16,1,16,Dreamscape Garden Care,16,16,16,1
17,1,17,Happy Bear Investment,17,17,17,1
18,1,18,Pleasures and Pasttimes,18,18,18,1
19,1,19,Record & Tape Outlet,19,19,19,1
20,1,20,King Carol,20,20,20,1
21,1,21,Independent Wealth Management,21,21,21,1
22,1,22,Lazysize,22,22,22,1
23,1,23,Titania,23,23,23,1
24,1,24,Rolling Thunder,24,24,24,1
25,1,25,Olympic Sports,25,25,25,1
26,1,26,Maxaprofit,26,26,26,1
27,1,27,Wellby,27,27,27,1
28,1,28,Price Club,28,28,28,1
29,1,29,Star Bright Investment Group,29,29,29,1
30,1,30,Muscle Factory,30,30,30,1
31,1,31,Gas Legion,31,31,31,1
32,1,32,Megatronic Plus,32,32,32,1
33,1,33,DGS HomeSource,33,33,33,1
34,1,34,Honest Air Group,34,34,34,1
35,1,35,Cloth World,35,35,35,1
36,1,36,DGS VolMAX,36,36,36,1
37,1,37,Big Bear Stores,37,37,37,1
38,1,38,David Weis,38,38,38,1
39,1,39,Erb Lumber,39,39,39,1
40,1,40,Geri's Hamburgers,40,40,40,1
