Uid,User Uid,Opportunity Uid,Channel Uid,Step Name,Customer Need,Proposed Solution,Close Revenue
1,3,1,1,new_opportunity,4550,4000,
2,3,2,1,new_opportunity,2300,2300,
3,8,3,1,,1000,850,2566
4,9,4,1,,4520,1985,
5,11,5,1,,2500,3250,5860
6,25,6,1,,3255,3550,
7,26,7,1,,2890,2960,
8,28,8,1,,2700,6685,
9,29,9,1,,2685,3586,
10,31,10,1,,3521,7466,
11,31,11,1,new_opportunity,6899,4500,
12,31,12,1,new_opportunity,7215,6544,
13,32,17,1,,7544,3855,1200
14,33,20,1,new_opportunity,1554,1980,4588
15,34,28,1,,8654,3285,8450
16,39,30,1,,9655,6640,1520
17,44,41,1,,4580,5690,5650
18,46,42,1,,9800,4005,4412
19,46,45,1,,4622,4200,1256
20,49,50,1,,1588,1288,3788
24,11,14,1,new_opportunity,8650,6650,
25,11,21,1,,12588,9555,
26,20,22,1,,9855,6523,
27,21,25,1,,18956,12563,
28,25,32,1,,5265,2300,
29,26,37,1,new_opportunity,4585,2655,
30,44,40,1,,9658,1256,
31,50,44,1,,4586,6588,
32,1,24,1,,1899,1200,
33,5,33,1,,3258,6500,
34,12,34,1,,4562,4600,
35,13,38,1,,9856,9455,
36,14,43,1,,7456,3655,
37,26,48,1,,4582,2566,
38,29,49,1,,2560,2100,
