Uid,Organization uid,Owner uid,Company,Shipping Address uid,Billing Address uid,Account uid
1,1,1,Life Plan Counselling,1,1,1
2,1,2,Big D Supermarkets,2,2,2
3,1,3,Cherry & Webb,3,3,3
4,1,4,National Lumber,4,4,4
5,1,5,Rainbow Bay Crafts,5,5,5
6,1,6,Jewel Mart,6,6,6
7,1,7,Rickel,7,7,7
8,1,8,Joshua Doore,8,8,8
9,1,9,Liberty Wealth Planner,9,9,9
10,1,10,Lazysize,10,10,10
11,1,11,Super Shops,11,11,11
12,1,12,Kinney Shoes,12,12,12
13,1,13,Boston Sea Party,13,13,13
14,1,14,Chandler's,14,14,14
15,1,15,Boston Sea Party,15,15,15
16,1,16,Dreamscape Garden Care,16,16,16
17,1,17,Happy Bear Investment,17,17,17
18,1,18,Pleasures and Pasttimes,18,18,18
19,1,19,Record & Tape Outlet,19,19,19
20,1,20,King Carol,20,20,20
21,1,21,Independent Wealth Management,21,21,21
22,1,22,Lazysize,22,22,22
23,1,23,Titania,23,23,23
24,1,24,Rolling Thunder,24,24,24
25,1,25,Olympic Sports,25,25,25
26,1,26,Maxaprofit,26,26,26
27,1,27,Wellby,27,27,27
28,1,28,Price Club,28,28,28
29,1,29,Star Bright Investment Group,29,29,29
30,1,30,Muscle Factory,30,30,30
31,2,31,Gas Legion,31,31,31
32,2,32,Megatronic Plus,32,32,32
33,2,33,DGS HomeSource,33,33,33
34,2,34,Honest Air Group,34,34,34
35,2,35,Cloth World,35,35,35
36,2,36,DGS VolMAX,36,36,36
37,2,37,Big Bear Stores,37,37,37
38,2,38,David Weis,38,38,38
39,2,39,Erb Lumber,39,39,39
40,2,40,Geri's Hamburgers,40,40,40
