Uid,User Uid,Channel Uid,Customer Uid,Contact Uid,Status,Lead Uid,Close Reason,Probability,Budget Amount
1,1,1,1,1,,1,,0.2,2560
2,1,1,2,2,,5,,,3200
3,1,1,3,3,won,10,won,,1250
4,1,1,4,4,,18,,,
5,1,1,5,5,won,20,won,,
6,1,1,6,6,,22,,0.34,
7,1,1,7,7,,23,,0.21,1560
8,1,1,8,8,lost,28,cancelled,,1360
9,1,1,9,9,,30,,,
10,1,1,10,10,,35,,,
11,1,1,11,11,,35,,,
12,1,1,12,12,,40,,,
13,1,1,13,13,lost,42,cancelled,,3699
14,1,1,14,14,,46,,0.35,
15,1,1,15,15,,46,,,
16,1,1,16,16,won,46,won,,2305
17,1,1,17,17,won,50,won,,
18,1,1,18,18,,50,,,
19,1,1,19,19,,60,,,
20,1,1,20,20,won,60,won,,2005
21,1,1,21,21,,62,,,
22,1,1,22,22,,62,,,
23,1,1,23,23,,62,,,2200
24,1,1,24,24,lost,63,cancelled,,1569
25,1,1,25,25,,75,,,
26,1,1,1,1,,78,,,
27,1,1,2,2,,80,,,
28,1,1,3,3,won,80,won,0.2323,
29,1,1,4,4,,85,,,
30,1,1,5,5,won,90,won,,
31,1,1,6,6,,91,,0.5,
32,1,1,7,7,,92,,0.25,
33,1,1,8,8,lost,93,cancelled,,4200
34,1,1,9,9,,95,,0.305,
35,1,1,10,10,,99,,,
36,1,1,11,11,,99,,,5650
37,1,1,12,12,,12,,,7258
38,1,1,13,13,lost,13,cancelled,,
39,1,1,14,14,,15,,,2890
40,1,1,15,15,,15,,0.2,
41,1,1,16,16,won,20,won,,9580
42,1,1,17,17,won,22,won,,
43,1,1,18,18,,25,,0.25,12020
44,1,1,19,19,,25,,0.4265,10540
45,1,1,20,20,won,30,won,,
46,1,1,21,21,,32,,,
47,1,1,22,22,,32,,,
48,1,1,23,23,,33,,,
49,1,1,24,24,lost,35,cancelled,,8850
50,1,1,25,25,won,36,won,,
