Uid,User Uid,Opportunity Uid,Channel Uid,Customer Need,Proposed Solution,Close Revenue
1,1,1,1,4550,4000,
2,1,2,1,2300,2300,
3,1,3,1,1000,850,2566
4,1,4,1,4520,1985,
5,1,5,1,2500,3250,5860
6,1,6,1,3255,3550,
7,1,7,1,2890,2960,
8,1,8,1,2700,6685,
9,1,9,1,2685,3586,
10,1,10,1,3521,7466,
11,1,11,1,6899,4500,
12,1,12,1,7215,6544,
13,1,17,1,7544,3855,1200
14,1,20,1,1554,1980,4588
15,1,28,1,8654,3285,8450
16,1,30,1,9655,6640,1520
17,1,41,1,4580,5690,5650
18,1,42,1,9800,4005,4412
19,1,45,1,4622,4200,1256
20,1,50,1,1588,1288,3788
