Uid,Contact uid,Subject,Body
1,1,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
2,2,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
3,3,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
4,4,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
5,5,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
6,6,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
7,7,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
8,8,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
9,9,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
10,10,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
11,11,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
12,12,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
13,13,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
14,14,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
15,15,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
16,16,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
17,17,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
18,18,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
19,19,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
20,20,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
21,21,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
22,22,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
23,23,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
24,24,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
25,25,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
26,26,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
27,27,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
28,28,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
29,29,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
30,30,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
31,31,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
32,32,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
33,33,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
34,34,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
35,35,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
36,36,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
37,37,Items Left in Cart contact,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
