uid,alias,target calendar user uid,target calendar organization uid,calendar user uid,calendar organization uid,visible,position,background_color
1,user,1,1,5,1,1,0,C2C2C2
3,user,3,1,7,1,0,0,F691B2
4,user,3,1,15,1,1,0,CD74E6
5,user,3,1,16,1,0,1,CCA6AC
6,user,3,1,17,1,1,1,FBE983
7,user,2,1,18,1,1,0,B3DC6C
8,user,3,1,19,1,0,1,CD74E6
9,user,3,1,20,1,1,0,92E1C0
10,user,1,1,21,1,0,1,F691B2
11,user,3,1,22,1,0,1,FAD165
12,user,1,1,24,1,1,0,A47AE2
13,user,1,1,25,1,0,0,F691B2
14,user,2,1,26,1,0,0,B3DC6C
15,user,2,1,27,1,1,-100,CD74E6
16,user,2,1,28,1,0,0,A47AE2
17,user,3,1,29,1,1,-100,FBE983
18,user,1,1,30,1,1,-100,D06B64
19,user,2,1,32,1,1,0,92E1C0
20,user,3,1,33,1,0,-100,7BD148
21,user,1,1,34,1,0,0,9FC6E7
22,user,2,1,35,1,0,0,42D692
23,user,3,1,36,1,0,0,FBE983
24,user,2,1,37,1,1,0,FFAD46
25,user,1,1,38,1,1,0,FFAD46
26,user,2,1,39,1,1,1,9FE1E7
27,user,1,1,40,1,0,0,D06B64
28,user,1,1,41,1,0,0,F83A22
