Uid,Day,Title,Description,Start time,End time,All_day,background_color
1,Monday,"Department General Meeting","Department General Meeting",09:00,10:00,0,#42D692
2,Tuesday,"Call to Mr. Harrison","Call to Mr. Harrison",11:00,11:20,0,#F691B2
3,Wednesday,"Call to Mr. Collins","Call to Mr. Collins",16:00,16:15,0,#F691B2
4,Thursday,"Launch","Launch",12:00,13:00,0,#E1E1E1
5,Friday,"Board meeting","Board meeting",11:00,14:00,0,#42D692
6,Monday,"Mr. Lee's Birthday","Congratulate Mr. Lee's",09:00,09:15,0,#5484ED
7,Tuesday,"Conference in Denver","Annual Marketing Conference",09:00,18:00,1,#42D692
8,Wednesday,"Meeting with Mr. Abrams","Meeting with Mr. Abrams",16:00,17:00,0,#5484ED
9,Thursday,"Meeting with Mrs. Robinson","Meeting with Mrs. Robinson",13:00,14:00,0,#5484ED
10,Friday,"Call to Oliver Rogers","Call to Oliver Rogers",14:35,14:45,0,#F691B2
11,Monday,"Launch","Launch",13:00,14:00,0,#E1E1E1
12,Tuesday,"Department Meeting","Department Meeting",11:00,11:30,0,#42D692
13,Wednesday,"Interview with Mr. Morgan","Interview with Mr. Morgan",14:00,15:00,0,#5484ED
14,Thursday,"Call to Stewart Cooper","Call to Stewart Cooper",14:50,15:10,0,#F691B2
15,Friday,"Board meeting","Board meeting",11:00,14:00,0,#42D692
16,Monday,"Launch","Launch",13:00,14:00,0,#E1E1E1
17,Tuesday,"Business trip to Sacramento","Business trip to Sacramento",09:00,18:00,1,#42D692
18,Wednesday,"Meeting with Mr. Mitchell","Meeting with Mr. Mitchell",14:30,15:00,0,#5484ED
29,Thursday,"Call to Mr. Richardson","Call to Mr. Richardson",12:45,13:00,0,#F691B2
20,Friday,"Meeting with our Canada partners","Meeting with our Canada partners",11:00,14:00,0,#42D692
