Uid,Cart uid,Sku,Name,Qty,Price,DiscountAmount,TaxPercent,ProductType
1,1,sku-Notebook,Notebook,5,1729.95,0,0.0838,simple
2,2,sku-Gaming Computer,Gaming Computer,2,1780,0,0.0838,simple
3,3,sku-Netbook,Netbook,2,601.98,0,0.0838,simple
4,4,sku-Computer,Computer,2,700.98,0,0.0838,simple
5,5,sku-Universal Camera Case,Universal Camera Case,5,170,0,0.0838,simple
6,6,sku-SLR Camera Tripod,SLR Camera Tripod,3,338.97,0,0.0838,simple
7,7,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,3,297,0,0.0838,simple
8,8,sku-Couch,Couch,4,3559.96,0,0.0838,simple
9,9,sku-Chair,Chair,1,160.79,0,0.0838,simple
10,10,sku-Magento Red Furniture Set,Magento Red Furniture Set,4,3999.96,0,0.0838,simple
11,11,sku-Tablet,Tablet,4,1303.96,0,0.0838,simple
12,12,sku-E-book,E-book,2,481.98,0,0.0838,simple
13,13,sku-Mouse,Mouse,5,129.95,0,0.0838,simple
14,14,sku-Phone,Phone,2,1381.98,0,0.0838,simple
15,15,sku-Notebook,Notebook,3,1040.97,0,0.0838,simple
16,16,sku-Gaming Computer,Gaming Computer,2,1782,0,0.0838,simple
17,17,sku-Netbook,Netbook,3,905.97,0,0.0838,simple
18,18,sku-Computer,Computer,2,702.98,0,0.0838,simple
19,19,sku-Universal Camera Case,Universal Camera Case,2,70,0,0.0838,simple
20,20,sku-SLR Camera Tripod,SLR Camera Tripod,4,455.96,0,0.0838,simple
21,21,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,2,200,0,0.0838,simple
22,22,sku-Couch,Couch,1,890.99,0,0.0838,simple
23,23,sku-Chair,Chair,5,808.95,0,0.0838,simple
24,24,sku-Magento Red Furniture Set,Magento Red Furniture Set,1,1000.99,0,0.0838,simple
25,25,sku-Tablet,Tablet,2,653.98,0,0.0838,simple
26,26,sku-E-book,E-book,4,967.96,0,0.0838,simple
27,27,sku-Mouse,Mouse,4,107.96,0,0.0838,simple
28,28,sku-Phone,Phone,4,2767.96,0,0.0838,simple
29,29,sku-Notebook,Notebook,1,347.99,0,0.0838,simple
30,30,sku-Gaming Computer,Gaming Computer,4,3568,0,0.0838,simple
31,31,sku-Netbook,Netbook,5,1514.95,0,0.0838,simple
32,32,sku-Computer,Computer,3,1057.47,0,0.0838,simple
33,33,sku-Universal Camera Case,Universal Camera Case,2,72,0,0.0838,simple
34,34,sku-SLR Camera Tripod,SLR Camera Tripod,1,114.99,0,0.0838,simple
35,35,sku-Two Year Extended Warranty - Parts and Labor,Two Year Extended Warranty - Parts and Labor,1,101,0,0.0838,simple
36,36,sku-Couch,Couch,1,891.99,0,0.0838,simple
