Uid,Customer uid,Currency,Rate
1,1,USD,1
2,1,USD,1
3,1,USD,1
4,2,USD,1
5,3,USD,1
6,4,USD,1
7,5,USD,1
8,6,USD,1
9,7,USD,1
10,8,USD,1
11,9,USD,1
12,10,USD,1
13,11,USD,1
14,12,USD,1
15,13,USD,1
16,14,USD,1
17,15,USD,1
18,16,USD,1
19,17,USD,1
20,18,USD,1
21,19,USD,1
22,20,USD,1
23,21,USD,1
24,22,USD,1
25,23,USD,1
26,24,USD,1
27,25,USD,1
28,26,USD,1
29,27,USD,1
30,28,USD,1
31,29,USD,1
32,30,USD,1
33,31,USD,1
34,32,USD,1
35,33,USD,1
36,34,USD,1
37,35,USD,1
38,36,USD,1
39,37,USD,1
40,38,USD,1
41,39,USD,1
42,40,USD,1
43,41,USD,1
44,42,USD,1
45,43,USD,1
46,44,USD,1
47,45,USD,1
48,46,USD,1
49,47,USD,1
50,12,USD,1
51,13,USD,1
52,14,USD,1
53,15,USD,1
54,16,USD,1
55,17,USD,1
56,18,USD,1
57,19,USD,1
58,20,USD,1
59,21,USD,1
60,22,USD,1
61,23,USD,1
62,24,USD,1
63,25,USD,1
64,26,USD,1
65,27,USD,1
66,28,USD,1
67,29,USD,1
68,30,USD,1
69,31,USD,1
70,32,USD,1
71,33,USD,1
72,34,USD,1
73,35,USD,1
74,36,USD,1
75,37,USD,1
76,38,USD,1
77,39,USD,1
78,40,USD,1
79,41,USD,1
80,42,USD,1
81,43,USD,1
82,1,USD,1
83,1,USD,1
84,1,USD,1
85,2,USD,1
86,3,USD,1
87,4,USD,1
88,5,USD,1
89,6,USD,1
90,7,USD,1
91,8,USD,1
92,9,USD,1
93,10,USD,1
94,11,USD,1
95,12,USD,1
96,13,USD,1
97,14,USD,1
98,15,USD,1
99,16,USD,1
100,17,USD,1
101,18,USD,1
102,19,USD,1
103,20,USD,1
104,21,USD,1
105,22,USD,1
106,23,USD,1
107,24,USD,1
108,25,USD,1
109,26,USD,1
110,27,USD,1
111,28,USD,1
112,29,USD,1
113,30,USD,1
114,31,USD,1
115,32,USD,1
116,33,USD,1
117,34,USD,1
118,35,USD,1
119,36,USD,1
120,37,USD,1
121,38,USD,1
122,39,USD,1
123,40,USD,1
124,41,USD,1
125,42,USD,1
126,43,USD,1
127,44,USD,1
128,45,USD,1
129,46,USD,1
130,47,USD,1
131,12,USD,1
132,13,USD,1
133,14,USD,1
134,15,USD,1
135,16,USD,1
136,17,USD,1
137,18,USD,1
138,19,USD,1
139,20,USD,1
140,21,USD,1
141,22,USD,1
142,23,USD,1
143,24,USD,1
144,25,USD,1
145,26,USD,1
146,27,USD,1
147,28,USD,1
148,29,USD,1
149,30,USD,1
150,31,USD,1
151,32,USD,1
152,33,USD,1
153,34,USD,1
154,35,USD,1
155,36,USD,1
156,37,USD,1
157,38,USD,1
158,39,USD,1
159,40,USD,1
160,41,USD,1
161,42,USD,1
162,43,USD,1
163,44,USD,1
164,45,USD,1
165,46,USD,1
166,47,USD,1
167,48,USD,1
168,49,USD,1
169,50,USD,1
170,40,USD,1
171,41,USD,1
172,42,USD,1
173,43,USD,1
174,44,USD,1
175,45,USD,1
176,46,USD,1
177,47,USD,1
178,48,USD,1
179,49,USD,1
180,50,USD,1
181,40,USD,1
182,41,USD,1
183,42,USD,1
184,43,USD,1
185,44,USD,1
186,45,USD,1
187,46,USD,1
188,47,USD,1
189,48,USD,1
190,49,USD,1
191,50,USD,1
192,51,USD,1
193,52,USD,1
194,53,USD,1
195,54,USD,1
196,55,USD,1
197,56,USD,1
198,57,USD,1
199,58,USD,1
200,59,USD,1
201,60,USD,1
202,50,USD,1
203,51,USD,1
204,52,USD,1
205,53,USD,1
206,54,USD,1
207,55,USD,1
208,56,USD,1
209,57,USD,1
210,58,USD,1
211,59,USD,1
212,60,USD,1
213,50,USD,1
214,51,USD,1
215,52,USD,1
216,53,USD,1
217,54,USD,1
218,55,USD,1
219,56,USD,1
220,57,USD,1
221,58,USD,1
222,59,USD,1
223,60,USD,1
224,61,USD,1
225,62,USD,1
226,63,USD,1
227,64,USD,1
228,65,USD,1
229,66,USD,1
230,67,USD,1
231,68,USD,1
232,69,USD,1
233,63,USD,1
234,60,USD,1
235,61,USD,1
236,62,USD,1
237,63,USD,1
238,64,USD,1
239,65,USD,1
240,66,USD,1
241,67,USD,1
242,68,USD,1
243,69,USD,1
244,65,USD,1
245,60,USD,1
246,61,USD,1
247,62,USD,1
248,63,USD,1
249,64,USD,1
250,65,USD,1
251,66,USD,1
252,67,USD,1
253,68,USD,1
254,69,USD,1
255,69,USD,1
256,60,USD,1
257,61,USD,1
258,62,USD,1
259,63,USD,1
260,64,USD,1
261,65,USD,1
262,66,USD,1
263,67,USD,1
264,68,USD,1
265,69,USD,1
266,69,USD,1
267,60,USD,1
268,61,USD,1
269,62,USD,1
270,63,USD,1
271,64,USD,1
272,65,USD,1
273,66,USD,1
274,67,USD,1
275,68,USD,1
276,69,USD,1
