Uid,Cart uid,Status,paymentMethod,paymentMethodDetails
1,1,Processing,Ccsave,Card[MC]
2,2,Pending,Checkmo,Card[AE]
3,3,Completed,Ccsave,N/A
4,4,Canceled,Checkmo,Card[MC]
5,5,Processing,Ccsave,Card[AE]
6,6,Pending,Checkmo,N/A
7,7,Completed,Ccsave,Card[MC]
8,8,Canceled,Checkmo,Card[AE]
9,9,Processing,Ccsave,N/A
10,10,Pending,Checkmo,Card[MC]
11,11,Completed,Ccsave,Card[AE]
12,12,Canceled,Checkmo,N/A
13,13,Processing,Ccsave,Card[MC]
14,14,Pending,Checkmo,Card[AE]
15,15,Completed,Ccsave,N/A
16,16,Canceled,Checkmo,Card[MC]
17,17,Processing,Ccsave,Card[AE]
18,18,Pending,Checkmo,N/A
19,19,Completed,Ccsave,Card[MC]
20,20,Canceled,Checkmo,Card[AE]
21,21,Processing,Ccsave,N/A
22,22,Pending,Checkmo,Card[MC]
23,23,Completed,Ccsave,Card[AE]
24,24,Canceled,Checkmo,N/A
25,25,Processing,Ccsave,Card[MC]
26,26,Pending,Checkmo,Card[AE]
27,27,Completed,Ccsave,N/A
28,28,Canceled,Checkmo,Card[MC]
29,29,Processing,Ccsave,Card[AE]
30,30,Pending,Checkmo,N/A
31,31,Completed,Ccsave,Card[MC]
32,32,Canceled,Checkmo,Card[AE]
33,33,Processing,Ccsave,N/A
34,34,Pending,Checkmo,Card[MC]
35,35,Completed,Ccsave,Card[AE]
36,36,Canceled,Checkmo,N/A
37,37,Processing,Ccsave,Card[MC]
38,38,Pending,Checkmo,Card[AE]
39,39,Completed,Ccsave,N/A
40,40,Canceled,Checkmo,Card[MC]
41,41,Processing,Ccsave,Card[MC]
42,42,Pending,Checkmo,Card[AE]
43,43,Completed,Ccsave,N/A
44,44,Canceled,Checkmo,Card[MC]
45,45,Processing,Ccsave,Card[AE]
46,46,Pending,Checkmo,N/A
47,47,Completed,Ccsave,Card[MC]
48,48,Canceled,Checkmo,Card[AE]
49,49,Processing,Ccsave,N/A
50,50,Pending,Checkmo,Card[MC]
51,51,Completed,Ccsave,Card[AE]
52,52,Canceled,Checkmo,N/A
53,53,Processing,Ccsave,Card[MC]
54,54,Pending,Checkmo,Card[AE]
55,55,Completed,Ccsave,N/A
56,56,Canceled,Checkmo,Card[MC]
57,57,Processing,Ccsave,Card[AE]
58,58,Pending,Checkmo,N/A
59,59,Completed,Ccsave,Card[MC]
60,60,Canceled,Checkmo,Card[AE]
61,61,Processing,Ccsave,N/A
62,62,Pending,Checkmo,Card[MC]
63,63,Completed,Ccsave,Card[AE]
64,64,Canceled,Checkmo,N/A
65,65,Processing,Ccsave,Card[MC]
66,66,Pending,Checkmo,Card[AE]
67,67,Completed,Ccsave,N/A
68,68,Canceled,Checkmo,Card[MC]
