Uid,Group uid,Event,Email,Entity,Template
1,5,persist,,Oro\Bundle\TagBundle\Entity\Tag,DemoDataBundle:create_tag
2,5,update,,Oro\Bundle\TagBundle\Entity\Tag,DemoDataBundle:update_tag
3,1,remove,,Oro\Bundle\TagBundle\Entity\Tag,DemoDataBundle:delete_tag
4,6,persist,,Oro\Bundle\UserBundle\Entity\Group,DemoDataBundle:create_group
5,6,update,,Oro\Bundle\UserBundle\Entity\Group,DemoDataBundle:update_group
6,1,remove,,Oro\Bundle\UserBundle\Entity\Group,DemoDataBundle:delete_group
7,6,persist,,Oro\Bundle\UserBundle\Entity\Role,DemoDataBundle:create_role
8,6,update,,Oro\Bundle\UserBundle\Entity\Role,DemoDataBundle:update_role
9,1,remove,,Oro\Bundle\UserBundle\Entity\Role,DemoDataBundle:delete_role
10,6,persist,,Oro\Bundle\UserBundle\Entity\User,DemoDataBundle:create_user
11,6,update,,Oro\Bundle\UserBundle\Entity\User,DemoDataBundle:update_user
12,1,remove,,Oro\Bundle\UserBundle\Entity\User,DemoDataBundle:delete_user
13,2,persist,,OroCRM\Bundle\AccountBundle\Entity\Account,DemoDataBundle:create_account
14,2,update,,OroCRM\Bundle\AccountBundle\Entity\Account,DemoDataBundle:update_account
15,1,remove,,OroCRM\Bundle\AccountBundle\Entity\Account,DemoDataBundle:delete_account
16,2,persist,,OroCRM\Bundle\ContactBundle\Entity\Contact,DemoDataBundle:create_contact
17,2,update,,OroCRM\Bundle\ContactBundle\Entity\Contact,DemoDataBundle:update_contact
18,1,remove,,OroCRM\Bundle\ContactBundle\Entity\Contact,DemoDataBundle:delete_contact
