Uid,Website uid,Tracking event uid,Tracking event dictionary uid,Tracking visit uid
1,1,1,1,1
2,1,2,4,1
3,1,3,3,3
4,1,4,6,2
5,1,5,2,3
6,1,6,3,6
7,1,7,6,4
8,1,8,2,5
9,1,9,3,9
10,1,10,1,6
11,1,11,1,7
12,1,12,1,8
13,1,13,6,9
14,1,14,1,10
15,1,15,1,11
16,1,16,6,12
17,1,17,1,13
18,1,18,1,14
19,1,19,6,15
20,1,20,1,16
21,1,21,4,17
22,1,22,4,18
23,1,23,2,19
24,1,24,1,20
25,1,25,3,16
26,1,26,1,21
27,1,27,1,22
28,1,28,1,23
29,1,29,1,24
30,1,30,1,25
31,1,31,1,26
32,1,32,4,27
33,1,33,4,28
34,1,34,2,29
35,1,35,2,30
36,1,36,3,20
37,1,37,3,27
38,1,38,3,28
39,1,39,3,30
40,1,40,1,31
41,1,41,1,32
42,1,42,1,33
43,1,43,1,34
44,1,44,1,35
45,1,45,1,36
46,1,46,1,37
47,1,47,1,38
48,1,48,1,39
49,1,49,1,40
50,1,50,1,41
51,1,51,6,42
52,1,52,6,43
53,1,53,1,44
54,1,54,1,45
55,1,55,1,46
56,1,56,6,47
57,1,57,6,48
58,1,58,1,49
59,1,59,4,50
60,1,60,4,51
61,1,61,1,52
62,1,62,1,53
63,1,63,1,54
64,1,64,6,55
65,1,65,4,56
66,1,66,4,57
67,1,67,4,58
68,1,68,4,59
69,1,69,4,60
70,1,70,4,61
71,1,71,2,62
72,1,72,2,63
73,1,73,2,64
74,1,74,2,65
75,1,75,2,66
76,1,76,2,67
77,1,77,3,32
78,1,78,3,33
79,1,79,3,36
80,1,80,3,37
81,1,81,3,38
82,1,82,3,40
83,1,83,3,49
84,1,84,3,50
85,1,85,1,68
86,1,86,3,52
87,1,87,3,60
88,1,88,3,61
89,1,89,3,62
90,1,90,3,66
91,1,91,3,78
92,1,92,1,69
93,1,93,3,90
94,1,94,3,94
95,1,95,1,70
96,1,96,6,71
97,1,97,1,72
98,1,98,6,73
99,1,99,1,74
100,1,100,1,75
101,1,101,1,76
102,1,102,6,77
103,1,103,6,78
104,1,104,6,79
105,1,105,1,80
106,1,106,4,81
107,1,107,4,82
108,1,108,4,83
109,1,109,4,84
110,1,110,2,85
111,1,111,2,86
112,1,112,2,87
113,1,113,2,88
114,1,114,3,98
115,1,115,3,107
116,1,116,3,113
117,1,117,3,129
118,1,118,3,131
119,1,119,3,138
120,1,120,3,140
121,1,121,3,150
122,1,122,1,89
123,1,123,3,153
124,1,124,3,159
125,1,125,3,162
126,1,126,6,90
127,1,127,2,91
128,1,128,4,92
129,1,129,4,93
130,1,130,2,94
131,1,131,2,95
132,1,132,3,166
133,1,133,3,175
134,1,134,3,177
135,1,135,3,182
136,1,136,1,96
137,1,137,1,97
138,1,138,6,98
139,1,139,1,99
140,1,140,4,100
141,1,141,4,101
142,1,142,2,102
143,1,143,2,103
144,1,144,3,183
145,1,145,3,196
146,1,146,3,199
147,1,147,3,204
148,1,148,1,104
149,1,149,3,209
150,1,150,3,210
151,1,151,4,105
152,1,152,3,213
153,1,153,6,307
154,1,154,6,309
155,1,155,6,313
156,1,156,6,315
157,1,157,6,316
158,1,158,6,320
159,1,159,6,322
160,1,160,6,339
161,1,161,6,341
162,1,162,6,344
163,1,163,6,351
164,1,164,6,352
165,1,165,6,355
166,1,166,6,357
167,1,167,6,359
168,1,168,6,366
169,1,169,6,367
170,1,170,6,368
171,1,171,6,369
172,1,172,6,370
173,1,173,6,372
174,1,174,6,379
175,1,175,6,380
176,1,176,6,385
177,1,177,6,386
178,1,178,6,511
179,1,179,6,512
180,1,180,6,517
181,1,181,6,518
182,1,182,6,521
183,1,183,6,522
184,1,184,6,523
185,1,185,6,527
186,1,186,6,531
187,1,187,6,532
188,1,188,6,533
189,1,189,6,534
190,1,190,6,535
191,1,191,6,537
192,1,192,6,539
193,1,193,6,540
194,1,194,6,541
195,1,195,6,543
196,1,196,6,545
197,1,197,6,546
198,1,198,6,550
199,1,199,6,552
200,1,200,6,554
201,1,201,6,557
202,1,202,6,558
203,1,203,6,561
204,1,204,6,563
205,1,205,6,627
206,1,206,6,629
207,1,207,6,630
208,1,208,6,635
209,1,209,6,636
210,1,210,6,638
211,1,211,6,639
212,1,212,6,641
213,1,213,6,642
214,1,214,6,643
215,1,215,6,645
216,1,216,6,647
217,1,217,6,648
218,1,218,6,650
219,1,219,6,652
220,1,220,6,653
221,1,221,6,656
222,1,222,6,661
223,1,223,6,664
224,1,224,6,665
225,1,225,6,755
226,1,226,6,756
227,1,227,6,758
228,1,228,6,759
229,1,229,6,760
230,1,230,6,763
231,1,231,6,764
232,1,232,6,765
233,1,233,6,766
234,1,234,6,767
235,1,235,6,768
236,1,236,6,770
237,1,237,6,771
238,1,238,6,772
239,1,239,6,774
240,1,240,6,775
241,1,241,6,777
242,1,242,6,778
243,1,243,6,779
244,1,244,6,780
245,1,245,6,842
246,1,246,6,844
247,1,247,6,846
248,1,248,6,847
249,1,249,6,848
250,1,250,6,849
251,1,251,6,850
252,1,252,6,851
253,1,253,6,852
254,1,254,6,853
