Uid,Contact uid,Subject,Body
1,1,Re:Items Left in Cart,Hi. Thanks.
2,1,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
3,33,Re:Marketing Discussion,"Hi. Ok, 3p.m."
4,34,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
5,34,Re:Items Left in Cart,Hi. Thanks.
6,35,Re:Marketing Discussion,"Hi. Ok, 3p.m."
7,35,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
8,36,Re:Marketing Discussion,"Hi. Ok, 3p.m."
9,36,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
10,37,Re:Marketing Discussion,"Hi. Ok, 3p.m."
11,37,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
12,38,Re:Marketing Discussion,"Hi. Ok, 3p.m."
13,39,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
14,40,Re:Marketing Discussion,"Hi. Ok, 3p.m."
15,41,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
16,41,Re:Items Left in Cart,Hi. Thanks.
17,42,Re:Marketing Discussion,"Hi. Ok, 3p.m."
18,43,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
19,44,Re:Marketing Discussion,"Hi. Ok, 3p.m."
20,45,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
21,46,Re:Marketing Discussion,"Hi. Ok, 3p.m."
22,47,Re:Items Left in Cart,Hi. Thanks.
23,48,Re:Marketing Discussion,"Hi. Ok, 3p.m."
24,48,Re:Items Left in Cart,Hi. Thanks.
25,49,Re:Marketing Discussion,"Hi. Ok, 3p.m."
26,49,Re:Items Left in Cart,Hi. Thanks.
27,50,Re:Marketing Discussion,"Hi. Ok, 3p.m."
28,50,Re:Items Left in Cart,Hi. Thanks.
29,70,Re:Welcome to our service,"Hi. Yes, with great pleasure."
30,70,Re:Price Notice,Hi. Thanks.
31,71,Re:Thank you for purchase,Hi. Thanks.
32,72,Re:Welcome to our service,"Hi. Yes, with great pleasure."
33,73,Re:Price Notice,Hi. Thanks.
34,74,Re:Thank you for purchase,Hi. Thanks.
35,75,Re:Welcome to our service,"Hi. Yes, with great pleasure."
36,76,Re:Price Notice,Hi. Thanks.
37,77,Re:Thank you for purchase,Hi. Thanks.
38,78,Re:Welcome to our service,"Hi. Yes, with great pleasure."
39,79,Re:Price Notice,Hi. Thanks.
40,80,Re:Thank you for purchase,Hi. Thanks.
41,81,Re:Welcome to our service,"Hi. Yes, with great pleasure."
42,82,Re:Price Notice,Hi. Thanks.
43,83,Re:Thank you for purchase,Hi. Thanks.
44,84,Re:Welcome to our service,"Hi. Yes, with great pleasure."
45,85,Re:Price Notice,Hi. Thanks.
46,86,Re:Thank you for purchase,Hi. Thanks.
47,87,Re:Welcome to our service,"Hi. Yes, with great pleasure."
48,88,Re:Price Notice,Hi. Thanks.
49,89,Re:Thank you for purchase,Hi. Thanks.
50,90,Re:Welcome to our service,"Hi. Yes, with great pleasure."
51,91,Re:Price Notice,Hi. Thanks.
52,92,Re:Thank you for purchase,Hi. Thanks.
53,93,Re:Welcome to our service,"Hi. Yes, with great pleasure."
54,94,Re:Price Notice,Hi. Thanks.
55,95,Re:Thank you for purchase,Hi. Thanks.
56,96,Re:Welcome to our service,"Hi. Yes, with great pleasure."
