Uid,User uid,Channel uid,Customer uid,Contact uid,Status,Lead uid,Close Reason,Probability,Budget Amount
1,main,1,B2B:1,70,in_progress,,,0.2,2560
2,main,1,B2B:2,71,in_progress,,,0.5,3200
3,main,1,B2B:3,72,won,,won,,1250
4,main,1,B2B:4,73,in_progress,,,0.5,4780
5,55,1,B2B:5,73,won,,won,,4550
6,56,1,B2B:6,74,in_progress,,,0.5,7888
7,57,1,B2B:7,75,in_progress,,,0.2,1560
8,58,1,B2B:8,75,lost,,cancelled,,1360
9,59,1,B2B:9,76,lost,,cancelled,0.5,2450
10,60,1,B2B:10,77,in_progress,,,0.2,2500
11,61,1,B2B:11,77,in_progress,,,0.2,2680
12,62,1,B2B:12,78,in_progress,,,0.2,3520
13,63,1,B2B:13,79,in_progress,,,0.8,3699
14,64,1,B2B:14,79,in_progress,,,0.2,3820
15,65,1,B2B:15,80,in_progress,,,0.5,4215
16,66,1,B2B:16,81,won,,won,,2305
17,67,1,B2B:17,82,won,,won,,4500
18,68,1,B2B:18,83,in_progress,,,0.2,4680
19,69,1,B2B:19,84,in_progress,,,0.2,4985
20,70,1,B2B:20,84,won,,won,,2005
21,71,1,B2B:21,85,in_progress,,,0.2,2545
22,72,1,B2B:22,86,in_progress,,,0.8,2850
23,73,1,B2B:23,86,in_progress,,,0.2,2200
24,74,1,B2B:24,87,lost,,cancelled,,1569
25,75,1,B2B:25,88,in_progress,,,0.2,7540
26,76,1,B2B:1,70,in_progress,,,0.2,5210
27,77,1,B2B:2,71,in_progress,,,0.8,1285
28,78,1,B2B:3,72,won,,won,0.2,1458
29,79,1,B2B:4,73,in_progress,,,0.5,5800
30,80,1,B2B:5,73,won,,won,,5950
31,81,1,B2B:6,74,in_progress,,,0.5,6210
32,82,1,B2B:7,75,in_progress,,,0.8,7200
33,83,1,B2B:8,75,lost,,cancelled,,4200
34,84,1,B2B:9,76,lost,,cancelled,0.2,7356
35,85,1,B2B:10,77,in_progress,,,0.5,7542
36,86,1,B2B:11,77,in_progress,,,0.5,5650
37,87,1,B2B:12,78,in_progress,,,0.5,7258
38,88,1,B2B:13,79,lost,,cancelled,,4585
39,89,1,B2B:14,79,in_progress,,,0.5,2890
40,90,1,B2B:15,80,in_progress,,,0.8,2655
41,51,1,B2B:16,81,won,,won,,9580
42,52,1,B2B:17,82,won,,won,,8500
43,53,1,B2B:18,83,lost,,cancelled,0.2,12020
44,54,1,B2B:19,84,in_progress,,,0.5,10540
45,55,1,B2B:20,84,won,,won,,4500
46,56,1,B2B:21,85,in_progress,,,0.5,6250
47,57,1,B2B:22,86,in_progress,,,0.5,6685
48,58,1,B2B:23,86,lost,,cancelled,0.8,9800
49,59,1,B2B:24,87,lost,,cancelled,,8850
50,60,1,B2B:25,88,won,,won,,6500
51,55,1,B2B:26,88,in_progress,,,0.2,8300
52,56,1,B2B:27,89,in_progress,,,0.5,8100
53,57,1,B2B:28,90,won,,won,,3300
54,58,1,B2B:29,91,in_progress,,,0.5,400
55,59,1,B2B:30,92,won,,won,,8800
56,60,1,B2B:31,93,in_progress,,,0.5,2900
57,61,1,B2B:32,94,in_progress,,,0.2,4200
58,62,1,B2B:33,95,lost,,cancelled,,4400
59,63,1,B2B:34,96,lost,,cancelled,0.5,3200
60,64,1,B2B:35,97,in_progress,,,0.2,3100
61,65,1,B2B:36,98,in_progress,,,0.2,4000
62,66,1,B2B:37,99,in_progress,,,0.2,9000
63,67,1,B2B:38,100,in_progress,,,0.8,4800
64,68,1,B2B:39,101,in_progress,,,0.2,8600
65,69,1,B2B:40,102,in_progress,,,0.5,4300
66,70,1,B2B:41,103,won,,won,,4800
67,71,1,B2B:42,104,won,,won,,2700
68,72,1,B2B:43,105,in_progress,,,0.2,6900
69,73,1,B2B:44,106,in_progress,,,0.2,4800
70,74,1,B2B:45,107,won,,won,,4700
71,75,1,B2B:46,108,in_progress,,,0.2,6400
72,76,1,B2B:47,109,in_progress,,,0.8,5600
73,77,1,B2B:48,110,in_progress,,,0.2,1700
74,78,1,B2B:49,111,lost,,cancelled,,1000
75,79,1,B2B:50,112,in_progress,,,0.2,600
76,80,1,B2B:51,113,in_progress,,,0.2,400
77,81,1,B2B:52,114,in_progress,,,0.8,1800
78,82,1,B2B:53,115,won,,won,0.2,3300
79,83,1,B2B:54,116,in_progress,,,0.5,4100
80,84,1,B2B:55,117,won,,won,,200
81,85,1,B2B:56,118,in_progress,,,0.5,9600
82,86,1,B2B:57,119,in_progress,,,0.8,5000
83,87,1,B2B:58,120,lost,,cancelled,,700
84,88,1,B2B:59,121,lost,,cancelled,0.2,1100
85,89,1,B2B:60,122,in_progress,,,0.5,4200
86,90,1,B2B:61,123,in_progress,,,0.5,100
87,55,1,B2B:62,124,in_progress,,,0.5,3200
88,56,1,B2B:63,125,lost,,cancelled,,5700
89,57,1,B2B:64,126,in_progress,,,0.5,3600
90,58,1,B2B:65,127,in_progress,,,0.8,6600
91,59,1,B2B:66,128,won,,won,,3000
92,60,1,B2B:67,129,won,,won,,3400
93,61,1,B2B:68,130,lost,,cancelled,0.2,200
94,62,1,B2B:69,131,in_progress,,,0.5,8100
95,63,1,B2B:70,132,won,,won,,8200
96,64,1,B2B:71,133,in_progress,,,0.5,5700
97,65,1,B2B:72,134,in_progress,,,0.5,800
98,66,1,B2B:73,135,lost,,cancelled,0.8,3200
99,67,1,B2B:74,136,lost,,cancelled,,8200
100,68,1,B2B:75,137,won,,won,,1700
101,69,1,B2B:76,138,in_progress,,,0.2,1800
102,70,1,B2B:77,139,in_progress,,,0.5,7200
103,71,1,B2B:78,140,won,,won,,1000
104,72,1,B2B:79,141,in_progress,,,0.5,3900
105,73,1,B2B:80,142,won,,won,,2400
106,74,1,B2B:81,143,in_progress,,,0.5,1200
107,75,1,B2B:82,144,in_progress,,,0.2,5900
108,76,1,B2B:83,145,lost,,cancelled,,9200
109,77,1,B2B:84,146,lost,,cancelled,0.5,7800
110,78,1,B2B:85,147,in_progress,,,0.2,2700
111,79,1,B2B:86,148,in_progress,,,0.2,4700
112,80,1,B2B:87,149,in_progress,,,0.2,7700
113,81,1,B2B:88,150,in_progress,,,0.8,1300
114,82,1,B2B:89,151,in_progress,,,0.2,3500
115,83,1,B2B:90,152,in_progress,,,0.5,3800
116,84,1,B2B:91,153,won,,won,,2200
117,85,1,B2B:92,154,won,,won,,2400
118,86,1,B2B:93,155,in_progress,,,0.2,8900
119,87,1,B2B:94,156,in_progress,,,0.2,10000
120,88,1,B2B:95,157,won,,won,,6500
121,89,1,B2B:96,158,in_progress,,,0.2,7500
122,90,1,B2B:97,159,in_progress,,,0.8,2800
123,55,1,B2B:98,160,in_progress,,,0.2,5500
124,56,1,B2B:99,161,lost,,cancelled,,300
125,57,1,B2B:100,162,in_progress,,,0.2,4300
126,58,1,B2B:101,163,in_progress,,,0.2,5300
127,59,1,B2B:102,164,in_progress,,,0.8,1500
128,60,1,B2B:103,165,won,,won,0.2,3000
129,61,1,B2B:104,166,in_progress,,,0.5,7400
130,62,1,B2B:105,167,won,,won,,2900
