Uid,User uid,Opportunity uid,Channel uid,Step Name,Customer Need,Proposed Solution,Close Revenue
1,56,1,1,new_opportunity,2560,2500,0
2,57,2,1,new_opportunity,3200,3100,0
3,51,3,1,won_opportunity,1250,1250,1250
4,54,4,1,new_opportunity,4780,4700,0
5,55,5,1,won_opportunity,4550,4550,4550
6,56,6,1,new_opportunity,7888,7800,0
7,57,7,1,developed_opportunity,1560,1500,0
8,58,8,1,lost_opportunity,1360,1300,0
9,59,9,1,lost_opportunity,2450,2400,0
10,60,10,1,new_opportunity,2500,2400,0
11,61,11,1,new_opportunity,2680,2600,0
12,62,12,1,new_opportunity,3520,3500,0
13,63,13,1,new_opportunity,3699,3600,0
14,64,14,1,new_opportunity,3820,3700,0
15,65,15,1,new_opportunity,4215,4200,0
16,66,16,1,won_opportunity,2305,2305,2305
17,67,17,1,won_opportunity,4500,4500,4500
18,68,18,1,developed_opportunity,4680,4600,0
19,69,19,1,new_opportunity,4985,4900,0
20,70,20,1,won_opportunity,2005,2005,2005
21,71,21,1,new_opportunity,2545,2500,0
22,72,22,1,new_opportunity,2850,2800,0
23,73,23,1,new_opportunity,2200,2100,0
24,74,24,1,lost_opportunity,1569,1500,0
25,75,25,1,new_opportunity,7540,7400,0
26,76,26,1,new_opportunity,5210,5200,0
27,77,27,1,developed_opportunity,1285,1200,0
28,78,28,1,won_opportunity,1458,1458,1458
29,79,29,1,new_opportunity,5800,5700,0
30,80,30,1,won_opportunity,5950,5950,5950
31,81,31,1,new_opportunity,6210,6100,0
32,82,32,1,new_opportunity,7200,7100,0
33,83,33,1,lost_opportunity,4200,4100,0
34,84,34,1,lost_opportunity,7356,7300,0
35,85,35,1,new_opportunity,7542,7400,0
36,56,36,1,new_opportunity,5650,5600,0
37,57,37,1,new_opportunity,7258,7200,0
38,51,38,1,lost_opportunity,4585,4500,0
39,54,39,1,new_opportunity,2890,2800,0
40,55,40,1,new_opportunity,2655,2600,0
41,56,41,1,won_opportunity,9580,9580,9580
42,57,42,1,won_opportunity,8500,8500,8500
43,58,43,1,lost_opportunity,12020,11900,0
44,59,44,1,new_opportunity,10540,10400,0
45,60,45,1,won_opportunity,4500,4500,4500
46,61,46,1,new_opportunity,6250,6200,0
47,62,47,1,new_opportunity,6685,6600,0
48,63,48,1,lost_opportunity,9800,9700,0
49,64,49,1,lost_opportunity,8850,8800,0
50,65,50,1,won_opportunity,6500,6500,6500
51,66,51,1,new_opportunity,8300,8200,0
52,67,52,1,new_opportunity,8100,8000,0
53,68,53,1,won_opportunity,3300,3300,3300
54,69,54,1,new_opportunity,400,300,0
55,70,55,1,won_opportunity,8800,8800,8800
56,71,56,1,new_opportunity,2900,2800,0
57,72,57,1,new_opportunity,4200,4100,0
58,73,58,1,lost_opportunity,4400,4300,0
59,74,59,1,lost_opportunity,3200,3100,0
60,75,60,1,new_opportunity,3100,3000,0
61,76,61,1,new_opportunity,4000,3900,0
62,77,62,1,new_opportunity,9000,8900,0
63,78,63,1,new_opportunity,4800,4700,0
64,79,64,1,new_opportunity,8600,8500,0
65,80,65,1,new_opportunity,4300,4200,0
66,81,66,1,won_opportunity,4800,4800,4800
67,82,67,1,won_opportunity,2700,2700,2700
68,83,68,1,new_opportunity,6900,6800,0
69,84,69,1,new_opportunity,4800,4700,0
70,85,70,1,won_opportunity,4700,4700,4700
71,56,71,1,new_opportunity,6400,6300,0
72,57,72,1,new_opportunity,5600,5500,0
73,51,73,1,new_opportunity,1700,1600,0
74,54,74,1,lost_opportunity,1000,900,0
75,55,75,1,new_opportunity,600,500,0
76,56,76,1,new_opportunity,400,300,0
77,57,77,1,new_opportunity,1800,1700,0
78,58,78,1,won_opportunity,3300,3300,3300
79,59,79,1,new_opportunity,4100,4000,0
80,60,80,1,won_opportunity,200,200,200
81,61,81,1,new_opportunity,9600,9500,0
82,62,82,1,new_opportunity,5000,4900,0
83,63,83,1,lost_opportunity,700,600,0
84,64,84,1,lost_opportunity,1100,1000,0
85,65,85,1,new_opportunity,4200,4100,0
86,66,86,1,new_opportunity,100,0,0
87,67,87,1,new_opportunity,3200,3100,0
88,68,88,1,lost_opportunity,5700,5600,0
89,69,89,1,new_opportunity,3600,3500,0
90,70,90,1,developed_opportunity,6600,6500,0
91,71,91,1,won_opportunity,3000,3000,3000
92,72,92,1,won_opportunity,3400,3400,3400
93,73,93,1,lost_opportunity,200,100,0
94,74,94,1,new_opportunity,8100,8000,0
95,75,95,1,won_opportunity,8200,8200,8200
96,76,96,1,new_opportunity,5700,5600,0
97,77,97,1,new_opportunity,800,700,0
98,78,98,1,lost_opportunity,3200,3100,0
99,79,99,1,lost_opportunity,8200,8100,0
100,80,100,1,won_opportunity,1700,1700,1700
101,81,101,1,new_opportunity,1800,1700,0
102,82,102,1,new_opportunity,7200,7100,0
103,83,103,1,won_opportunity,1000,1000,1000
104,84,104,1,new_opportunity,3900,3800,0
105,85,105,1,won_opportunity,2400,2400,2400
106,56,106,1,new_opportunity,1200,1100,0
107,57,107,1,new_opportunity,5900,5800,0
108,51,108,1,lost_opportunity,9200,9100,0
109,54,109,1,lost_opportunity,7800,7700,0
110,55,110,1,new_opportunity,2700,2600,0
111,56,111,1,new_opportunity,4700,4600,0
112,57,112,1,developed_opportunity,7700,7600,0
113,58,113,1,new_opportunity,1300,1200,0
114,59,114,1,new_opportunity,3500,3400,0
115,60,115,1,new_opportunity,3800,3700,0
116,61,116,1,won_opportunity,2200,2200,2200
117,62,117,1,won_opportunity,2400,2400,2400
118,63,118,1,new_opportunity,8900,8800,0
119,64,119,1,new_opportunity,10000,9900,0
120,65,120,1,won_opportunity,6500,6500,6500
121,66,121,1,new_opportunity,7500,7400,0
122,67,122,1,new_opportunity,2800,2700,0
123,68,123,1,new_opportunity,5500,5400,0
124,69,124,1,lost_opportunity,300,200,0
125,70,125,1,new_opportunity,4300,4200,0
126,71,126,1,new_opportunity,5300,5200,0
127,72,127,1,new_opportunity,1500,1400,0
128,73,128,1,won_opportunity,3000,3000,3000
129,74,129,1,developed_opportunity,7400,7300,0
130,75,130,1,won_opportunity,2900,2900,2900
131,76,131,1,new_opportunity,7300,7200,0
132,77,132,1,new_opportunity,1800,1700,0
133,78,133,1,lost_opportunity,7100,7000,0
134,79,134,1,lost_opportunity,9100,9000,0
135,80,135,1,developed_opportunity,800,700,0
136,81,136,1,new_opportunity,6800,6700,0
137,82,137,1,new_opportunity,9800,9700,0
138,83,138,1,lost_opportunity,3000,2900,0
139,84,139,1,new_opportunity,10000,9900,0
140,85,140,1,developed_opportunity,3300,3200,0
141,56,141,1,won_opportunity,9100,9100,9100
142,57,142,1,won_opportunity,3300,3300,3300
143,51,143,1,lost_opportunity,2300,2200,0
144,54,144,1,new_opportunity,2800,2700,0
145,55,145,1,won_opportunity,8600,8600,8600
146,56,146,1,new_opportunity,100,0,0
147,57,147,1,new_opportunity,8200,8100,0
148,58,148,1,lost_opportunity,7100,7000,0
149,59,149,1,lost_opportunity,1400,1300,0
150,60,150,1,won_opportunity,4200,4200,4200
151,61,151,1,lost_opportunity,3100,3000,0
152,62,152,1,lost_opportunity,2600,2500,0
