Uid,Dashboard uid,Widget,Position x,Position y,Options
1,1,big_numbers_widget,0,0,YTo0OntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjM6IlNhbGVzIGZvciBjdXJyZW50IG1vbnRoIjtzOjEwOiJ1c2VEZWZhdWx0IjtiOjA7fXM6OToiZGF0ZVJhbmdlIjthOjM6e3M6NDoidHlwZSI7aToxO3M6NToidmFsdWUiO2E6Mjp7czo1OiJzdGFydCI7czo1OiJ7ezR9fSI7czozOiJlbmQiO3M6NToie3sxfX0iO31zOjQ6InBhcnQiO3M6Njoic291cmNlIjt9czoxOToidXNlUHJldmlvdXNJbnRlcnZhbCI7YjoxO3M6MTA6InN1YldpZGdldHMiO2E6Njp7aTowO3M6NzoicmV2ZW51ZSI7aToxO3M6MTM6Im9yZGVyc19udW1iZXIiO2k6MjtzOjI1OiJkaXNjb3VudGVkX29yZGVyc19wZXJjZW50IjtpOjU7czoxOToiYXZlcmFnZV9vcmRlcl92YWx1ZSI7aTo2O3M6MTc6ImFiYW5kb25lZF9yZXZlbnVlIjtpOjc7czoxNToiYWJhbmRvbmVkX2NvdW50Ijt9fQ==
2,1,purchase_chart,0,1,YTowOnt9
3,1,average_order_amount_chart,0,2,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjQ6Ik9yZGVycyBmb3IgY3VycmVudCBtb250aCI7czoxMDoidXNlRGVmYXVsdCI7YjowO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO3M6NToie3s0fX0iO3M6MzoiZW5kIjtzOjU6Int7Mn19Ijt9czo0OiJwYXJ0IjtzOjY6InNvdXJjZSI7fX0=
4,1,big_numbers_widget,1,0,YTo0OntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MTg6IkN1c3RvbWVycyBhY3Rpdml0eSI7czoxMDoidXNlRGVmYXVsdCI7YjowO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO047czozOiJlbmQiO047fXM6NDoicGFydCI7czo2OiJzb3VyY2UiO31zOjE5OiJ1c2VQcmV2aW91c0ludGVydmFsIjtiOjE7czoxMDoic3ViV2lkZ2V0cyI7YTo2OntpOjM7czoxOToibmV3X2N1c3RvbWVyc19jb3VudCI7aTo2O3M6MTc6ImFiYW5kb25lZF9yZXZlbnVlIjtpOjc7czoxNToiYWJhbmRvbmVkX2NvdW50IjtpOjg7czoxMjoiYWJhbmRvbl9yYXRlIjtpOjk7czoxMToic2l0ZV92aXNpdHMiO2k6MTtzOjI1OiJyZXR1cm5pbmdfY3VzdG9tZXJzX2NvdW50Ijt9fQ==
5,1,revenue_over_time_chart,1,1,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjU6IlJldmVudWUgRm9yIGN1cnJlbnQgbW9udGgiO3M6MTA6InVzZURlZmF1bHQiO2I6MDt9czo5OiJkYXRlUmFuZ2UiO2E6Mzp7czo0OiJ0eXBlIjtpOjE7czo1OiJ2YWx1ZSI7YToyOntzOjU6InN0YXJ0IjtzOjU6Int7NH19IjtzOjM6ImVuZCI7czo1OiJ7ezJ9fSI7fXM6NDoicGFydCI7czo2OiJzb3VyY2UiO319
6,1,new_magento_customers_chart,1,2,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjE6Ik5ldyBNYWdlbnRvIEN1c3RvbWVycyI7czoxMDoidXNlRGVmYXVsdCI7YjoxO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO3M6NToie3s0fX0iO3M6MzoiZW5kIjtzOjU6Int7Mn19Ijt9czo0OiJwYXJ0IjtzOjY6InNvdXJjZSI7fX0=
7,2,my_calendar,0,0,
8,2,opportunities_by_lead_source_chart,0,1,
9,2,recent_emails,0,2,
10,2,my_accounts_activity,0,3,
11,2,recent_calls,0,4,
12,2,my_contacts_activity,0,5,
13,2,quick_launchpad,1,0,
14,2,my_sales_flow_b2b_chart,1,1,
15,2,campaigns_leads,1,2,
16,2,campaigns_by_close_revenue,1,3,
17,2,opportunities_by_state,1,4,
18,2,campaigns_opportunity,1,5,
19,3,my_calendar,0,0,
20,3,my_sales_flow_b2c_chart,0,1,
21,3,recent_emails,0,2,
22,3,recent_calls,0,3,
23,3,my_contacts_activity,0,4,
24,3,my_accounts_activity,0,5,
25,3,quick_launchpad,1,0,
26,3,opportunities_by_lead_source_chart,1,1,
27,3,my_sales_flow_b2b_chart,1,2,
28,3,campaigns_leads,1,3,
29,3,campaigns_by_close_revenue,1,4,
30,3,opportunities_by_state,1,5,
31,3,campaigns_opportunity,1,6,
