Uid,Organization uid,Name,User uid,ExtendDescription
1,1,Silverline,main,"The company is a leading supplier of semiconductor-based solutions, offering a comprehensive portfolio of energy efficient power and signal management, logic, standard and custom devices."
2,1,Freshtax,main,As the third-largest cable provider in the nation
3,1,Cherry & Webb,main,Cherry & Webb is a global manufacturer of communications network equipment and solutions
4,1,National Lumber,main,"National Lumber is a leading global property information, analytics and data-enabled services provider. The company's combined data from public, contributory and proprietary sources includes over 3.5 billion records spanning more than 50 years, providing detailed coverage of property, mortgages and other encumbrances, consumer credit, tenancy, location, hazard risk and related performance information. "
5,1,Demimbu,main,"As one of America’s great food companies and leading distributors, Demimbu is Keeping Kitchens Cooking and making life easier for more than 250,000 customers, including independent and multi-unit restaurants, healthcare and hospitality entities, government and educational institutions."
6,1,Livetube,main,Livetube is one of the world's leading film and entertainment companies.
7,1,Realcube,main,"Realcube is a business services company that helps its customers maximize the power of their people, lower their costs and focus on what they do best."
8,1,Wordware,1001,"Wordwareis a global design firm, with 46 offices and 4,000 employees worldwide. Gensler helps clients succeed by focusing on the needs of the people they serve, whether they are employees, customers, sports fans, students, passengers or guests."
9,1,Wordpedia,1001,"Wordpedia is the world’s most complete communications firm, specializing in public relations, public affairs, marketing, paid media, and transmedia and social content. "
10,1,Fivechat,1001,"Fivechat is a global consulting firm that helps companies solve problems in finance, technology, operations, governance, risk and internal audit,"
11,1,Avavee,1001,"Avavee is one of the world's largest investment companies. We offer low-cost mutual funds, ETFs, advice, and related services to financial professionals, institutional investors, and individual investors"
12,1,Dabshots,2001,"Dabshots helps the world work smarter. The company's software and solutions improve the lives of millions of people through better facilities, safer communities and more reliable operations. "
13,1,Latz,2001,"Latz is a resource and a catalyst to help customers work better. We are a single source for everything customers need to be more productive, including the latest technology, core office supplies, print and document services, business services, facilities products, furniture, and school essentials. "
14,1,Centidel,2001,Centidel is a leading medical technology company that partners with customers and stakeholders to address many of the world’s most pressing and evolving health needs. Our innovative solutions are focused on improving medication management and patient safety; supporting infection prevention practices; equipping surgical and interventional procedures; improving drug delivery; aiding anesthesiology and respiratory care; advancing cellular research and applications; enhancing the diagnosis of infectious diseases and cancers; and supporting the management of diabetes. 
15,1,Tagpad,1,"Taqpad is leading the charge in transforming the next generation of health care. We have the vision, the technology, the products and the people to connect you to the care you need and help you better understand your options. And we offer solutions for the challenges of a changing health care system. "
16,1,Abata,2,"Abata makes life better for millions of people every day by providing electric and gas services in a sustainable way: affordable, reliable and clean. "
17,1,Youfeed,3,Youfeed is a leading worldwide developer and publisher of interactive entertainment software
18,1,Skimia,4,"Skimia is a diversified technology and manufacturing company, serving customers globally with aerospace products and services, control, sensing and security technologies for buildings, homes and industry, turbochargers, automotive products, specialty chemicals, electronic and advanced materials, and process technology for refining and petrochemicals and energy efficient products and solutions for homes, business and transportation"
19,1,Mydeo,5,"Mydeo is a leading provider of end-user enablement, service experience management, and cloud technology services to Fortune 1000 companies. "
20,1,Voonte,6,"Voonte is a biotechnology company targeting cancer and transforming lives through the discovery, development, commercialization and manufacturing of novel therapeutics."
21,1,Bluecare,11,"Bluecare is a unique global specialty pharmaceutical company focused on developing, manufacturing and commercializing high quality affordable generic and innovative branded products for patients around the world."
