Uid,Contact uid,Subject,Body
1,1,Re:Welcome to our service,"Hi. Yes, with great pleasure."
2,1,Re:Price Notice,Hi. Thanks.
3,33,Re:Thank you for purchase,Hi. Thanks.
4,34,Re:Welcome to our service,"Hi. Yes, with great pleasure."
5,34,Re:Price Notice,Hi. Thanks.
6,35,Re:Thank you for purchase,Hi. Thanks.
7,35,Re:Welcome to our service,"Hi. Yes, with great pleasure."
8,36,Re:Price Notice,Hi. Thanks.
9,36,Re:Thank you for purchase,Hi. Thanks.
10,37,Re:Welcome to our service,"Hi. Yes, with great pleasure."
11,37,Re:Price Notice,Hi. Thanks.
12,38,Re:Thank you for purchase,Hi. Thanks.
13,39,Re:Welcome to our service,"Hi. Yes, with great pleasure."
14,40,Re:Price Notice,Hi. Thanks.
15,41,Re:Thank you for purchase,Hi. Thanks.
16,41,Re:Welcome to our service,"Hi. Yes, with great pleasure."
17,42,Re:Price Notice,Hi. Thanks.
18,43,Re:Thank you for purchase,Hi. Thanks.
19,44,Re:Welcome to our service,"Hi. Yes, with great pleasure."
20,45,Re:Price Notice,Hi. Thanks.
21,46,Re:Thank you for purchase,Hi. Thanks.
22,47,Re:Welcome to our service,"Hi. Yes, with great pleasure."
23,48,Re:Price Notice,Hi. Thanks.
24,48,Re:Thank you for purchase,Hi. Thanks.
25,49,Re:Welcome to our service,"Hi. Yes, with great pleasure."
26,49,Re:Price Notice,Hi. Thanks.
27,50,Re:Thank you for purchase,Hi. Thanks.
28,50,Re:Welcome to our service,"Hi. Yes, with great pleasure."
