Uid,User uid,Opportunity uid,Channel uid,Step Name,Customer Need,Proposed Solution,Close Revenue
1,3,1,1,new_opportunity,2560,2500,0
2,3,2,1,new_opportunity,3200,3100,0
3,8,3,1,won_opportunity,1250,1250,1250
4,9,4,1,new_opportunity,4780,4700,0
5,11,5,1,won_opportunity,4550,4550,4550
6,25,6,1,new_opportunity,7888,7800,0
7,26,7,1,won_opportunity,1560,1560,1560
8,28,8,1,lost_opportunity,1360,1300,0
9,29,9,1,lost_opportunity,2450,2400,0
10,31,10,1,new_opportunity,2500,2400,0
11,31,11,1,developed_opportunity,2680,2600,0
12,31,12,1,won_opportunity,3520,3520,3520
13,32,13,1,new_opportunity,3699,3600,0
14,33,14,1,new_opportunity,3820,3700,0
15,34,15,1,new_opportunity,4215,4200,0
16,39,16,1,won_opportunity,2305,2305,2305
17,44,17,1,won_opportunity,4500,4500,4500
18,46,18,1,developed_opportunity,4680,4600,0
19,46,19,1,new_opportunity,4985,4900,0
20,49,20,1,won_opportunity,2005,2005,2005
21,11,21,1,new_opportunity,2545,2500,0
22,11,22,1,developed_opportunity,2850,2800,0
23,20,23,1,new_opportunity,2200,2100,0
24,21,24,1,lost_opportunity,1569,1500,0
25,25,25,1,new_opportunity,7540,7500,0
26,26,26,1,new_opportunity,5210,5100,0
27,44,27,1,new_opportunity,1285,1200,0
28,50,28,1,won_opportunity,1458,1458,1458
29,1,29,1,developed_opportunity,5800,5700,0
30,5,30,1,won_opportunity,5950,5950,5950
31,12,31,1,new_opportunity,6210,6100,0
32,13,32,1,new_opportunity,7200,7100,0
33,14,33,1,lost_opportunity,4200,4100,0
34,26,34,1,lost_opportunity,7356,7300,0
35,29,35,1,developed_opportunity,7542,7500,0
36,3,36,1,new_opportunity,5650,5600,0
37,3,37,1,new_opportunity,7258,7200,0
38,8,38,1,lost_opportunity,4585,4500,0
39,9,39,1,new_opportunity,2890,2800,0
40,11,40,1,new_opportunity,2655,2600,0
41,25,41,1,won_opportunity,9580,9580,9580
42,26,42,1,won_opportunity,8500,8500,8500
43,28,43,1,lost_opportunity,12020,11900,0
44,29,44,1,new_opportunity,10540,10400,0
45,31,45,1,won_opportunity,4500,4500,4500
46,31,46,1,new_opportunity,6250,6200,0
47,31,47,1,new_opportunity,6685,6600,0
48,32,48,1,lost_opportunity,9800,9700,0
49,33,49,1,lost_opportunity,8850,8800,0
50,34,50,1,won_opportunity,6500,6500,6500
51,39,51,1,new_opportunity,8500,8400,0
52,44,52,1,new_opportunity,11250,11200,0
53,46,53,1,won_opportunity,14750,14750,14750
54,46,54,1,new_opportunity,18500,18400,0
55,49,55,1,developed_opportunity,10750,10700,0
56,11,56,1,new_opportunity,23750,23700,0
57,11,57,1,new_opportunity,5750,5700,0
58,20,58,1,won_opportunity,11000,11000,11000
59,21,59,1,developed_opportunity,20250,20200,0
60,25,60,1,new_opportunity,4000,3900,0
61,26,61,1,new_opportunity,4500,4400,0
62,44,62,1,new_opportunity,1750,1700,0
63,50,63,1,new_opportunity,1750,1700,0
64,1,64,1,new_opportunity,25000,24900,0
65,5,65,1,new_opportunity,9250,9200,0
66,12,66,1,won_opportunity,24000,24000,24000
67,13,67,1,won_opportunity,14500,14500,14500
68,14,68,1,developed_opportunity,12500,12400,0
69,26,69,1,new_opportunity,15750,15700,0
70,29,70,1,won_opportunity,24250,24250,24250
71,3,71,1,new_opportunity,21250,21200,0
72,3,72,1,developed_opportunity,15750,15700,0
73,8,73,1,new_opportunity,6000,5900,0
74,9,74,1,won_opportunity,12250,12250,12250
75,11,75,1,new_opportunity,12250,12200,0
76,25,76,1,new_opportunity,10000,9900,0
77,26,77,1,new_opportunity,12750,12700,0
78,28,78,1,new_opportunity,8250,8200,0
79,29,79,1,new_opportunity,24500,24400,0
80,31,80,1,lost_opportunity,4750,4700,0
81,31,81,1,new_opportunity,11250,11200,0
82,31,82,1,new_opportunity,21000,20900,0
83,32,83,1,lost_opportunity,25000,24900,0
84,33,84,1,new_opportunity,10750,10700,0
85,34,85,1,new_opportunity,10250,10200,0
86,39,86,1,developed_opportunity,22750,22700,0
87,44,87,1,new_opportunity,9750,9700,0
88,46,88,1,lost_opportunity,2000,1900,0
89,46,89,1,new_opportunity,23750,23700,0
90,49,90,1,new_opportunity,22000,21900,0
91,11,91,1,lost_opportunity,6750,6700,0
92,11,92,1,lost_opportunity,12500,12400,0
