Uid,Account uid,Subject,Duration,Direction
1,1,Cold Calling,00:04:15,Incoming
2,2,Reminder of our scheduled meeting,00:05:15,Outgoing
3,3,Happy Birthday,00:06:30,Outgoing
4,3,The lease of office space,00:04:45,Outgoing
5,3,Cold Calling,00:10:00,Incoming
6,4,Business call,00:03:15,Outgoing
7,4,Marketing,00:06:45,Outgoing
8,4,Open call,00:15:45,Outgoing
9,5,Special call,00:14:15,Outgoing
10,5,Cold Calling,00:02:35,Incoming
11,6,Reminder of our scheduled meeting,00:03:30,Outgoing
12,6,Happy Birthday,00:04:45,Outgoing
13,7,The lease of office space,00:03:00,Outgoing
14,7,Cold Calling,00:03:15,Incoming
15,8,Business call,00:16:45,Outgoing
16,8,Marketing,00:05:45,Outgoing
17,9,Open call,00:08:20,Outgoing
18,9,Special call,00:06:25,Outgoing
19,10,Cold Calling,00:08:12,Incoming
20,10,Reminder of our scheduled meeting,00:10:45,Outgoing
21,11,Happy Birthday,00:05:00,Outgoing
22,11,The lease of office space,00:05:20,Outgoing
23,12,Cold Calling,00:06:45,Incoming
24,12,Business call,00:04:16,Outgoing
25,13,Marketing,00:05:16,Outgoing
26,13,Open call,00:06:31,Outgoing
27,14,Special call,00:04:46,Outgoing
28,14,Cold Calling,00:10:01,Incoming
29,15,Reminder of our scheduled meeting,00:03:16,Outgoing
30,15,Happy Birthday,00:06:46,Outgoing
31,16,The lease of office space,00:15:46,Outgoing
32,16,Cold Calling,00:14:16,Incoming
33,17,Business call,00:02:36,Outgoing
34,17,Marketing,00:03:31,Outgoing
35,18,Open call,00:04:46,Outgoing
36,18,Special call,00:03:01,Outgoing
37,19,Cold Calling,00:03:16,Incoming
38,19,Reminder of our scheduled meeting,00:16:46,Outgoing
39,20,Happy Birthday,00:05:46,Outgoing
40,21,The lease of office space,00:08:21,Outgoing
41,22,Cold Calling,00:06:26,Incoming
42,23,Business call,00:08:13,Outgoing
43,24,Marketing,00:10:46,Outgoing
44,25,Open call,00:05:01,Outgoing
45,26,Special call,00:05:21,Outgoing
46,27,Cold Calling,00:06:46,Incoming
47,28,Reminder of our scheduled meeting,00:04:17,Outgoing
48,29,Happy Birthday,00:05:17,Outgoing
49,30,The lease of office space,00:06:32,Outgoing
50,31,Cold Calling,00:04:47,Incoming
