Uid,Account uid,Subject,Body
1,32,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
2,32,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
3,33,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
4,34,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
5,34,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
6,35,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
7,35,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
8,36,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
9,36,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
10,37,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
11,37,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
12,38,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
13,39,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
14,40,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
15,41,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
16,41,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
17,42,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
18,43,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
19,44,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
20,45,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
21,46,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
22,47,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
23,48,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
24,48,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
25,49,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
26,49,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
27,50,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
28,50,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
