Uid,Contact uid,Subject,Body
1,1,Re:Items Left in Cart,Hi. Thanks.
2,1,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
3,33,Re:Marketing Discussion,"Hi. Ok, 3p.m."
4,34,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
5,34,Re:Items Left in Cart,Hi. Thanks.
6,35,Re:Marketing Discussion,"Hi. Ok, 3p.m."
7,35,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
8,36,Re:Marketing Discussion,"Hi. Ok, 3p.m."
9,36,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
10,37,Re:Marketing Discussion,"Hi. Ok, 3p.m."
11,37,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
12,38,Re:Marketing Discussion,"Hi. Ok, 3p.m."
13,39,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
14,40,Re:Marketing Discussion,"Hi. Ok, 3p.m."
15,41,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
16,41,Re:Items Left in Cart,Hi. Thanks.
17,42,Re:Marketing Discussion,"Hi. Ok, 3p.m."
18,43,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
19,44,Re:Marketing Discussion,"Hi. Ok, 3p.m."
20,45,Re:How did you like your new sparring gear?,"Hi. Yes, thank you!"
21,46,Re:Marketing Discussion,"Hi. Ok, 3p.m."
22,47,Re:Items Left in Cart,Hi. Thanks.
23,48,Re:Marketing Discussion,"Hi. Ok, 3p.m."
24,48,Re:Items Left in Cart,Hi. Thanks.
25,49,Re:Marketing Discussion,"Hi. Ok, 3p.m."
26,49,Re:Items Left in Cart,Hi. Thanks.
27,50,Re:Marketing Discussion,"Hi. Ok, 3p.m."
28,50,Re:Items Left in Cart,Hi. Thanks.
