Uid,Customer uid,Currency,Rate,Status
1,1,USD,1,open
2,1,USD,1,expired
3,1,USD,1,lost
4,2,USD,1,purchased
5,3,USD,1,open
6,4,USD,1,open
7,5,USD,1,expired
8,6,USD,1,lost
9,7,USD,1,purchased
10,8,USD,1,open
11,9,USD,1,open
12,10,USD,1,expired
13,11,USD,1,lost
14,12,USD,1,purchased
15,13,USD,1,open
16,14,USD,1,open
17,15,USD,1,expired
18,16,USD,1,lost
19,17,USD,1,purchased
20,18,USD,1,open
21,19,USD,1,open
22,20,USD,1,expired
23,21,USD,1,lost
24,22,USD,1,purchased
25,23,USD,1,converted_to_opportunity
26,24,USD,1,open
27,25,USD,1,expired
28,26,USD,1,lost
29,27,USD,1,purchased
30,28,USD,1,converted_to_opportunity
31,29,USD,1,open
32,30,USD,1,expired
33,31,USD,1,lost
34,32,USD,1,purchased
35,33,USD,1,converted_to_opportunity
36,34,USD,1,open
37,35,USD,1,expired
38,36,USD,1,lost
39,37,USD,1,purchased
40,38,USD,1,converted_to_opportunity
41,39,USD,1,open
42,40,USD,1,expired
43,41,USD,1,lost
44,42,USD,1,purchased
45,43,USD,1,converted_to_opportunity
46,44,USD,1,open
47,45,USD,1,expired
48,46,USD,1,lost
49,47,USD,1,purchased
50,12,USD,1,converted_to_opportunity
51,13,USD,1,open
52,14,USD,1,expired
53,15,USD,1,lost
54,16,USD,1,purchased
55,17,USD,1,converted_to_opportunity
56,18,USD,1,open
57,19,USD,1,expired
58,20,USD,1,lost
59,21,USD,1,purchased
60,22,USD,1,converted_to_opportunity
61,23,USD,1,open
62,24,USD,1,expired
63,25,USD,1,lost
64,26,USD,1,purchased
65,27,USD,1,converted_to_opportunity
66,28,USD,1,open
67,29,USD,1,expired
68,30,USD,1,lost
69,31,USD,1,purchased
70,32,USD,1,converted_to_opportunity
71,33,USD,1,open
72,34,USD,1,expired
73,35,USD,1,lost
74,36,USD,1,purchased
75,37,USD,1,converted_to_opportunity
76,38,USD,1,open
77,39,USD,1,expired
78,40,USD,1,lost
79,41,USD,1,purchased
80,42,USD,1,converted_to_opportunity
81,43,USD,1,open
82,1,USD,1,expired
83,1,USD,1,lost
84,1,USD,1,purchased
85,2,USD,1,converted_to_opportunity
86,3,USD,1,open
87,4,USD,1,expired
88,5,USD,1,lost
89,6,USD,1,purchased
90,7,USD,1,converted_to_opportunity
91,8,USD,1,open
92,9,USD,1,expired
93,10,USD,1,lost
94,11,USD,1,purchased
95,12,USD,1,converted_to_opportunity
96,13,USD,1,open
97,14,USD,1,expired
98,15,USD,1,lost
99,16,USD,1,purchased
100,17,USD,1,converted_to_opportunity
101,18,USD,1,open
102,19,USD,1,expired
103,20,USD,1,lost
104,21,USD,1,purchased
105,22,USD,1,open
106,23,USD,1,open
107,24,USD,1,expired
108,25,USD,1,lost
109,26,USD,1,purchased
110,27,USD,1,open
111,28,USD,1,open
112,29,USD,1,expired
113,30,USD,1,lost
114,31,USD,1,purchased
115,32,USD,1,open
116,33,USD,1,open
117,34,USD,1,expired
118,35,USD,1,lost
119,36,USD,1,purchased
120,37,USD,1,open
121,38,USD,1,open
122,39,USD,1,expired
123,40,USD,1,lost
124,41,USD,1,purchased
125,42,USD,1,open
126,43,USD,1,open
127,44,USD,1,expired
128,45,USD,1,lost
129,46,USD,1,purchased
130,47,USD,1,open
131,12,USD,1,open
132,13,USD,1,expired
133,14,USD,1,lost
134,15,USD,1,purchased
135,16,USD,1,converted_to_opportunity
136,17,USD,1,open
137,18,USD,1,expired
138,19,USD,1,lost
139,20,USD,1,purchased
140,21,USD,1,converted_to_opportunity
141,22,USD,1,open
142,23,USD,1,expired
143,24,USD,1,lost
144,25,USD,1,purchased
145,26,USD,1,open
146,27,USD,1,open
147,28,USD,1,expired
148,29,USD,1,lost
149,30,USD,1,purchased
150,31,USD,1,open
151,32,USD,1,open
152,33,USD,1,expired
153,34,USD,1,lost
154,35,USD,1,purchased
155,36,USD,1,converted_to_opportunity
156,37,USD,1,open
157,38,USD,1,expired
158,39,USD,1,lost
159,40,USD,1,purchased
160,41,USD,1,open
161,42,USD,1,open
162,43,USD,1,expired
163,44,USD,1,lost
164,45,USD,1,purchased
165,46,USD,1,converted_to_opportunity
166,47,USD,1,open
167,48,USD,1,expired
168,49,USD,1,lost
169,50,USD,1,purchased
170,40,USD,1,converted_to_opportunity
171,41,USD,1,open
172,42,USD,1,expired
173,43,USD,1,lost
174,44,USD,1,lost
175,45,USD,1,converted_to_opportunity
176,46,USD,1,open
177,47,USD,1,expired
178,48,USD,1,lost
179,49,USD,1,purchased
180,50,USD,1,open
181,40,USD,1,open
182,41,USD,1,expired
183,42,USD,1,lost
184,43,USD,1,purchased
185,44,USD,1,open
186,45,USD,1,open
187,46,USD,1,expired
188,47,USD,1,lost
189,48,USD,1,purchased
190,49,USD,1,converted_to_opportunity
191,50,USD,1,open
192,51,USD,1,expired
193,52,USD,1,lost
194,53,USD,1,lost
195,54,USD,1,open
196,55,USD,1,open
197,56,USD,1,expired
198,57,USD,1,lost
199,58,USD,1,purchased
200,59,USD,1,open
201,60,USD,1,open
202,50,USD,1,expired
203,51,USD,1,lost
204,52,USD,1,purchased
205,53,USD,1,converted_to_opportunity
206,54,USD,1,open
207,55,USD,1,expired
208,56,USD,1,lost
209,57,USD,1,purchased
210,58,USD,1,open
211,59,USD,1,open
212,60,USD,1,expired
213,50,USD,1,lost
214,51,USD,1,lost
215,52,USD,1,converted_to_opportunity
216,53,USD,1,open
217,54,USD,1,expired
218,55,USD,1,lost
219,56,USD,1,purchased
220,57,USD,1,converted_to_opportunity
221,58,USD,1,open
222,59,USD,1,expired
223,60,USD,1,lost
224,61,USD,1,purchased
225,62,USD,1,open
226,63,USD,1,open
227,64,USD,1,expired
228,65,USD,1,lost
229,66,USD,1,purchased
230,67,USD,1,converted_to_opportunity
231,68,USD,1,open
232,69,USD,1,expired
233,63,USD,1,lost
234,60,USD,1,purchased
235,61,USD,1,converted_to_opportunity
236,62,USD,1,open
237,63,USD,1,expired
238,64,USD,1,lost
239,65,USD,1,purchased
240,66,USD,1,converted_to_opportunity
241,67,USD,1,open
242,68,USD,1,expired
243,69,USD,1,lost
244,65,USD,1,purchased
245,60,USD,1,open
246,61,USD,1,open
247,62,USD,1,expired
248,63,USD,1,lost
249,64,USD,1,purchased
250,65,USD,1,converted_to_opportunity
251,66,USD,1,open
252,67,USD,1,expired
253,68,USD,1,lost
254,69,USD,1,purchased
255,69,USD,1,converted_to_opportunity
256,60,USD,1,open
257,61,USD,1,expired
258,62,USD,1,lost
259,63,USD,1,purchased
260,64,USD,1,converted_to_opportunity
261,65,USD,1,open
262,66,USD,1,expired
263,67,USD,1,lost
264,68,USD,1,purchased
265,69,USD,1,open
266,69,USD,1,open
267,60,USD,1,expired
268,61,USD,1,lost
269,62,USD,1,purchased
270,63,USD,1,open
271,64,USD,1,open
272,65,USD,1,expired
273,66,USD,1,lost
274,67,USD,1,purchased
275,68,USD,1,converted_to_opportunity
276,69,USD,1,open
