Uid,Cart uid,Status,Payment_Method,Payment_Method_Details
1,1,Processing,Ccsave,Card[MC]
2,2,Canceled,Checkmo,Card[AE]
3,3,Canceled,Ccsave,N/A
4,4,Completed,Checkmo,Card[MC]
5,5,Processing,Ccsave,Card[AE]
6,6,Processing,Checkmo,N/A
7,7,Canceled,Ccsave,Card[MC]
8,8,Canceled,Checkmo,Card[AE]
9,9,Completed,Ccsave,N/A
10,10,Processing,Checkmo,Card[MC]
11,11,Processing,Ccsave,Card[AE]
12,12,Canceled,Checkmo,N/A
13,13,Canceled,Ccsave,Card[MC]
14,14,Completed,Checkmo,Card[AE]
15,15,Processing,Ccsave,N/A
16,16,Processing,Checkmo,Card[MC]
17,17,Canceled,Ccsave,Card[AE]
18,18,Canceled,Checkmo,N/A
19,19,Completed,Ccsave,Card[MC]
20,20,Processing,Checkmo,Card[AE]
21,21,Processing,Ccsave,N/A
22,22,Canceled,Checkmo,Card[MC]
23,23,Canceled,Ccsave,Card[AE]
24,24,Completed,Checkmo,N/A
25,25,Processing,Ccsave,Card[MC]
26,26,Processing,Checkmo,Card[AE]
27,27,Canceled,Ccsave,N/A
28,28,Canceled,Checkmo,Card[MC]
29,29,Completed,Ccsave,Card[AE]
30,30,Processing,Checkmo,N/A
31,31,Processing,Ccsave,Card[MC]
32,32,Canceled,Checkmo,Card[AE]
33,33,Canceled,Ccsave,N/A
34,34,Completed,Checkmo,Card[MC]
35,35,Processing,Ccsave,Card[AE]
36,36,Processing,Checkmo,N/A
37,37,Canceled,Ccsave,Card[MC]
38,38,Canceled,Checkmo,Card[AE]
39,39,Completed,Ccsave,N/A
40,40,Processing,Checkmo,Card[MC]
41,41,Processing,Ccsave,Card[MC]
42,42,Canceled,Checkmo,Card[AE]
43,43,Canceled,Ccsave,N/A
44,44,Completed,Checkmo,Card[MC]
45,45,Processing,Ccsave,Card[AE]
46,46,Processing,Checkmo,N/A
47,47,Canceled,Ccsave,Card[MC]
48,48,Canceled,Checkmo,Card[AE]
49,49,Completed,Ccsave,N/A
50,50,Processing,Checkmo,Card[MC]
51,51,Processing,Ccsave,Card[AE]
52,52,Canceled,Checkmo,N/A
53,53,Canceled,Ccsave,Card[MC]
54,54,Completed,Checkmo,Card[AE]
55,55,Processing,Ccsave,N/A
56,56,Processing,Checkmo,Card[MC]
57,57,Canceled,Ccsave,Card[AE]
58,58,Canceled,Checkmo,N/A
59,59,Completed,Ccsave,Card[MC]
60,60,Processing,Checkmo,Card[AE]
61,61,Processing,Ccsave,N/A
62,62,Canceled,Checkmo,Card[MC]
63,63,Canceled,Ccsave,Card[AE]
64,64,Completed,Checkmo,N/A
65,65,Processing,Ccsave,Card[MC]
66,66,Processing,Checkmo,Card[AE]
67,67,Canceled,Ccsave,N/A
68,68,Canceled,Checkmo,Card[MC]
69,69,Completed,Ccsave,Card[AE]
70,70,Processing,Checkmo,N/A
71,71,Processing,Ccsave,Card[MC]
72,72,Canceled,Checkmo,Card[AE]
73,73,Canceled,Ccsave,N/A
74,74,Completed,Checkmo,Card[MC]
75,75,Processing,Ccsave,Card[AE]
76,76,Processing,Checkmo,N/A
77,77,Canceled,Ccsave,Card[MC]
78,78,Canceled,Checkmo,Card[AE]
79,79,Completed,Ccsave,N/A
80,80,Processing,Checkmo,Card[MC]
81,81,Processing,Ccsave,Card[MC]
82,82,Canceled,Checkmo,Card[AE]
83,83,Canceled,Ccsave,N/A
84,84,Completed,Checkmo,Card[MC]
85,85,Processing,Ccsave,Card[AE]
86,86,Processing,Checkmo,N/A
87,87,Canceled,Ccsave,Card[MC]
88,88,Canceled,Checkmo,Card[AE]
89,89,Completed,Ccsave,N/A
90,90,Processing,Checkmo,Card[MC]
91,91,Processing,Ccsave,Card[AE]
92,92,Canceled,Checkmo,N/A
93,93,Canceled,Ccsave,Card[MC]
94,94,Completed,Checkmo,Card[AE]
95,95,Processing,Ccsave,N/A
