Uid,Account uid,Tag uid
1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,3,6
7,4,7
8,4,8
9,5,9
10,6,10
11,7,11
12,8,12
13,9,13
14,10,1
15,11,2
16,12,3
17,13,4
18,14,5
19,15,6
20,16,7
21,17,8
22,18,9
23,19,10
24,20,11
25,21,12
26,22,13
27,23,1
28,24,2
29,25,3
30,26,4
31,27,5
32,28,6
33,29,7
34,30,8
35,31,9
36,32,10
37,33,11
38,34,12
39,35,13
40,36,1
41,37,2
42,38,3
43,39,4
44,40,5
45,41,6
46,42,7
47,43,8
48,44,9
49,45,10
50,46,11
51,47,12
52,48,13
53,49,1
54,50,2
55,10,3
56,11,4
57,12,5
58,13,6
59,14,7
60,15,8
61,16,9
62,17,10
63,18,11
64,19,12
65,20,13
66,21,1
67,22,2
68,23,3
69,24,4
70,25,5
71,26,6
72,27,7
73,28,8
74,29,9
75,30,10
