Uid,Contact uid,Tag uid
1,1,1
2,1,10
3,1,2
4,2,3
5,2,4
6,3,5
7,4,6
8,4,10
9,5,1
10,6,2
11,7,3
12,8,4
13,9,5
14,10,6
15,11,7
16,12,8
17,13,9
18,14,10
19,15,11
20,16,12
21,17,13
22,18,1
23,19,2
24,20,3
25,21,4
26,22,5
27,23,6
28,24,7
29,25,8
30,26,9
31,27,10
32,28,11
33,29,12
34,30,13
35,31,1
36,32,2
37,33,3
38,34,4
39,35,5
40,36,6
41,37,7
42,38,8
43,39,9
44,40,10
45,41,11
46,42,12
47,43,13
48,44,1
49,45,2
50,46,3
51,47,4
52,48,5
53,49,6
54,50,7
55,51,8
56,52,9
57,53,10
58,54,11
59,55,12
60,56,13
61,57,1
62,58,2
63,59,3
64,60,4
65,61,5
66,62,6
67,63,7
68,64,8
69,65,9
70,66,10
71,67,11
72,68,12
73,69,13
74,20,1
75,21,2
76,22,3
77,23,4
78,24,5
79,25,6
80,26,7
81,27,8
82,28,9
83,29,10
84,30,11
85,31,12
86,32,13
87,33,1
88,34,2
89,35,3
90,36,4
91,37,5
92,38,6
93,39,7
94,40,8
95,41,9
96,42,10
97,43,11
98,44,12
99,45,13
100,46,1
101,47,2
102,48,3
103,49,4
104,50,5
105,51,6
106,52,7
107,53,8
108,54,9
109,55,10
110,56,11
111,57,12
112,58,13
113,59,1
114,60,2
