Uid,Organization uid,AssignedTo uid,Subject,Text
1,1,1,"Wrong zip code: order #10000001","I was just checking my order and noticed I put the wrong zip code. It is supposed to be 50001. I'm hoping this can be changed. Thank you!"
2,1,2,"Problem with order?","I ordered some Christmas gifts on October 23rd and they still say they're processing. Here is my order number: #10000002"
3,1,3,"Subscribe","Could you tell me how to get back on the newsletter list? Thank you"
4,1,4,"Gift Tags", "Are the gift Tags on the site today from only or is there to as well?"
5,1,5,"Will I get a call before delivery is attempted?","Will I get a call before delivery is attempted? Can I choose my preferred courier company?"
6,1,6,"Click the Place Order button, but nothing happens","Click the Place Order button, but nothing happens"
7,1,7,"What if I don't want to receive any more SMS Alerts service messages?","What if I don't want to receive any more SMS Alerts service messages?"
8,1,8,"How do I track my order?","How do I track my order?"
9,1,9,"Refund","I placed an order. Can I now receive refund in my bank account?"
10,1,10,"Voicemail from: Support Caller",
11,2,51,"Wrong zip code: order #23000321","I was just checking my order and noticed I put the wrong zip code. It is supposed to be 53022. I'm hoping this can be changed. Thank you!"
12,2,52,"Problem with order?","I ordered some Christmas gifts on October 25rd and they still say they're processing. Here is my order number: #23000326"
13,2,53,"Subscribe","Could you tell me how to get back on the newsletter list? Thank you"
14,2,54,"Gift Tags", "Are the gift Tags on the site today from only or is there to as well?"
15,2,55,"Will I get a call before delivery is attempted?","Will I get a call before delivery is attempted? Can I choose my preferred courier company?"
16,2,56,"Click the Place Order button, but nothing happens","Click the Place Order button, but nothing happens"
17,2,57,"What if I don't want to receive any more SMS Alerts service messages?","What if I don't want to receive any more SMS Alerts service messages?"
18,2,58,"How do I track my order?","How do I track my order?"
19,2,59,"Refund","I placed an order. Can I now receive refund in my bank account?"
20,2,60,"Voicemail from: Support Caller",
