Uid,Dashboard uid,Widget,Position x,Position y,Options
1,1,big_numbers_widget,0,0,YTo0OntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjA6IkVjb21tZXJjZSBTdGF0aXN0aWNzIjtzOjEwOiJ1c2VEZWZhdWx0IjtiOjE7fXM6OToiZGF0ZVJhbmdlIjthOjM6e3M6NDoidHlwZSI7aToxO3M6NToidmFsdWUiO2E6Mjp7czo1OiJzdGFydCI7czo1OiJ7ezR9fSI7czozOiJlbmQiO3M6NToie3sxfX0iO31zOjQ6InBhcnQiO3M6Njoic291cmNlIjt9czoxOToidXNlUHJldmlvdXNJbnRlcnZhbCI7YjoxO3M6MTA6InN1YldpZGdldHMiO2E6MTp7czo1OiJpdGVtcyI7YToxMjp7aTowO2E6NDp7czoyOiJpZCI7czo3OiJyZXZlbnVlIjtzOjU6ImxhYmVsIjtzOjc6IlJldmVudWUiO3M6NDoic2hvdyI7YjoxO3M6NToib3JkZXIiO3M6MToiMSI7fWk6MTthOjQ6e3M6MjoiaWQiO3M6MTM6Im9yZGVyc19udW1iZXIiO3M6NToibGFiZWwiO3M6MTM6Ik9yZGVycyBwbGFjZWQiO3M6NDoic2hvdyI7YjoxO3M6NToib3JkZXIiO3M6MToiMiI7fWk6MjthOjQ6e3M6MjoiaWQiO3M6MjU6ImRpc2NvdW50ZWRfb3JkZXJzX3BlcmNlbnQiO3M6NToibGFiZWwiO3M6MTc6IkRpc2NvdW50ZWQgb3JkZXJzIjtzOjQ6InNob3ciO2I6MTtzOjU6Im9yZGVyIjtzOjE6IjMiO31pOjM7YTo0OntzOjI6ImlkIjtOO3M6NToibGFiZWwiO3M6MTM6Ik5ldyBjdXN0b21lcnMiO3M6NDoic2hvdyI7YjowO3M6NToib3JkZXIiO047fWk6NDthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoxOToiUmV0dXJuaW5nIGN1c3RvbWVycyI7czo0OiJzaG93IjtiOjA7czo1OiJvcmRlciI7Tjt9aTo1O2E6NDp7czoyOiJpZCI7czoxOToiYXZlcmFnZV9vcmRlcl92YWx1ZSI7czo1OiJsYWJlbCI7czoxOToiQXZlcmFnZSBvcmRlciB2YWx1ZSI7czo0OiJzaG93IjtiOjE7czo1OiJvcmRlciI7czoxOiI2Ijt9aTo2O2E6NDp7czoyOiJpZCI7czoxNzoiYWJhbmRvbmVkX3JldmVudWUiO3M6NToibGFiZWwiO3M6MTc6IkFiYW5kb25lZCByZXZlbnVlIjtzOjQ6InNob3ciO2I6MTtzOjU6Im9yZGVyIjtzOjE6IjciO31pOjc7YTo0OntzOjI6ImlkIjtzOjE1OiJhYmFuZG9uZWRfY291bnQiO3M6NToibGFiZWwiO3M6MTU6IkFiYW5kb25lZCBjYXJ0cyI7czo0OiJzaG93IjtiOjE7czo1OiJvcmRlciI7czoxOiI4Ijt9aTo4O2E6NDp7czoyOiJpZCI7TjtzOjU6ImxhYmVsIjtzOjEyOiJBYmFuZG9uIHJhdGUiO3M6NDoic2hvdyI7YjowO3M6NToib3JkZXIiO047fWk6OTthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoxMToiU2l0ZSB2aXNpdHMiO3M6NDoic2hvdyI7YjowO3M6NToib3JkZXIiO047fWk6MTA7YTo0OntzOjI6ImlkIjtOO3M6NToibGFiZWwiO3M6MjE6Ik9yZGVyIGNvbnZlcnNpb24gcmF0ZSI7czo0OiJzaG93IjtiOjA7czo1OiJvcmRlciI7Tjt9aToxMTthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoyNDoiQ3VzdG9tZXIgY29udmVyc2lvbiByYXRlIjtzOjQ6InNob3ciO2I6MDtzOjU6Im9yZGVyIjtOO319fX0==
2,1,purchase_chart,0,1,YTowOnt9
3,1,average_order_amount_chart,0,2,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6NjoiT3JkZXJzIjtzOjEwOiJ1c2VEZWZhdWx0IjtiOjA7fXM6OToiZGF0ZVJhbmdlIjthOjM6e3M6NDoidHlwZSI7aToxO3M6NToidmFsdWUiO2E6Mjp7czo1OiJzdGFydCI7czo1OiJ7ezR9fSI7czozOiJlbmQiO3M6NToie3syfX0iO31zOjQ6InBhcnQiO3M6Njoic291cmNlIjt9fQ==
4,1,big_numbers_widget,1,0,YTo0OntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MTg6IkN1c3RvbWVycyBhY3Rpdml0eSI7czoxMDoidXNlRGVmYXVsdCI7YjowO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO3M6NToie3s0fX0iO3M6MzoiZW5kIjtzOjU6Int7MX19Ijt9czo0OiJwYXJ0IjtzOjY6InNvdXJjZSI7fXM6MTk6InVzZVByZXZpb3VzSW50ZXJ2YWwiO2I6MTtzOjEwOiJzdWJXaWRnZXRzIjthOjE6e3M6NToiaXRlbXMiO2E6MTI6e2k6MDthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czo3OiJSZXZlbnVlIjtzOjQ6InNob3ciO2I6MDtzOjU6Im9yZGVyIjtOO31pOjE7YTo0OntzOjI6ImlkIjtOO3M6NToibGFiZWwiO3M6MTM6Ik9yZGVycyBwbGFjZWQiO3M6NDoic2hvdyI7YjowO3M6NToib3JkZXIiO047fWk6MjthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoxNzoiRGlzY291bnRlZCBvcmRlcnMiO3M6NDoic2hvdyI7YjowO3M6NToib3JkZXIiO047fWk6MzthOjQ6e3M6MjoiaWQiO3M6MTk6Im5ld19jdXN0b21lcnNfY291bnQiO3M6NToibGFiZWwiO3M6MTM6Ik5ldyBjdXN0b21lcnMiO3M6NDoic2hvdyI7YjoxO3M6NToib3JkZXIiO3M6MToiNCI7fWk6NDthOjQ6e3M6MjoiaWQiO3M6MjU6InJldHVybmluZ19jdXN0b21lcnNfY291bnQiO3M6NToibGFiZWwiO3M6MTk6IlJldHVybmluZyBjdXN0b21lcnMiO3M6NDoic2hvdyI7YjoxO3M6NToib3JkZXIiO3M6MToiNSI7fWk6NTthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoxOToiQXZlcmFnZSBvcmRlciB2YWx1ZSI7czo0OiJzaG93IjtiOjA7czo1OiJvcmRlciI7Tjt9aTo2O2E6NDp7czoyOiJpZCI7czoxNzoiYWJhbmRvbmVkX3JldmVudWUiO3M6NToibGFiZWwiO3M6MTc6IkFiYW5kb25lZCByZXZlbnVlIjtzOjQ6InNob3ciO2I6MTtzOjU6Im9yZGVyIjtzOjE6IjciO31pOjc7YTo0OntzOjI6ImlkIjtzOjE1OiJhYmFuZG9uZWRfY291bnQiO3M6NToibGFiZWwiO3M6MTU6IkFiYW5kb25lZCBjYXJ0cyI7czo0OiJzaG93IjtiOjE7czo1OiJvcmRlciI7czoxOiI4Ijt9aTo4O2E6NDp7czoyOiJpZCI7czoxMjoiYWJhbmRvbl9yYXRlIjtzOjU6ImxhYmVsIjtzOjEyOiJBYmFuZG9uIHJhdGUiO3M6NDoic2hvdyI7YjoxO3M6NToib3JkZXIiO3M6MToiOSI7fWk6OTthOjQ6e3M6MjoiaWQiO3M6MTE6InNpdGVfdmlzaXRzIjtzOjU6ImxhYmVsIjtzOjExOiJTaXRlIHZpc2l0cyI7czo0OiJzaG93IjtiOjE7czo1OiJvcmRlciI7czoyOiIxMCI7fWk6MTA7YTo0OntzOjI6ImlkIjtOO3M6NToibGFiZWwiO3M6MjE6Ik9yZGVyIGNvbnZlcnNpb24gcmF0ZSI7czo0OiJzaG93IjtiOjA7czo1OiJvcmRlciI7Tjt9aToxMTthOjQ6e3M6MjoiaWQiO047czo1OiJsYWJlbCI7czoyNDoiQ3VzdG9tZXIgY29udmVyc2lvbiByYXRlIjtzOjQ6InNob3ciO2I6MDtzOjU6Im9yZGVyIjtOO319fX0
5,1,revenue_over_time_chart,1,1,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6NzoiUmV2ZW51ZSI7czoxMDoidXNlRGVmYXVsdCI7YjowO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO3M6NToie3s0fX0iO3M6MzoiZW5kIjtzOjU6Int7Mn19Ijt9czo0OiJwYXJ0IjtzOjY6InNvdXJjZSI7fX0=
6,1,new_magento_customers_chart,1,2,YToyOntzOjU6InRpdGxlIjthOjI6e3M6NToidGl0bGUiO3M6MjE6Ik5ldyBNYWdlbnRvIEN1c3RvbWVycyI7czoxMDoidXNlRGVmYXVsdCI7YjoxO31zOjk6ImRhdGVSYW5nZSI7YTozOntzOjQ6InR5cGUiO2k6MTtzOjU6InZhbHVlIjthOjI6e3M6NToic3RhcnQiO3M6NToie3s0fX0iO3M6MzoiZW5kIjtzOjU6Int7Mn19Ijt9czo0OiJwYXJ0IjtzOjY6InNvdXJjZSI7fX0=
7,2,my_calendar,0,0,
8,2,opportunities_by_lead_source_chart,0,1,
9,2,recent_emails,0,2,
10,2,my_accounts_activity,0,3,
