Uid,Email campaign uid,Entity Uid,Contacted times,Open,Click,Bounce,Abuse,Unsubscribe
1,1,1,1,2,1,0,0,0
2,1,2,2,1,1,0,0,0
3,1,3,3,2,1,0,0,0
4,1,4,2,3,0,0,0,0
5,1,5,1,2,1,0,0,0
6,1,6,2,1,1,0,0,0
7,1,7,3,2,0,0,0,1
8,1,8,2,3,1,0,0,0
9,1,9,1,1,1,0,0,0
10,1,10,2,1,1,0,0,0
11,1,11,3,2,0,0,0,0
12,1,12,2,3,1,0,0,0
13,1,13,1,1,1,0,0,0
14,1,14,2,1,1,0,0,0
15,1,15,3,2,1,0,0,0
16,1,16,2,1,1,0,0,0
17,1,17,1,2,0,0,0,1
18,1,18,2,2,1,0,0,0
19,1,19,3,2,1,0,0,0
20,1,20,2,3,1,0,0,0
21,1,21,1,2,1,0,0,0
22,1,22,2,1,0,0,0,0
23,1,23,3,2,1,0,0,0
24,1,24,2,3,1,0,0,0
25,1,25,1,2,1,0,0,0
26,1,26,2,1,0,0,0,0
27,1,27,3,2,1,0,0,0
28,1,28,2,3,1,0,0,0
29,1,29,1,2,0,0,0,0
30,1,30,2,1,1,0,0,0
31,1,31,3,2,1,0,0,0
32,1,32,2,3,1,0,0,0
33,1,33,1,2,1,0,0,0
34,1,34,2,1,1,0,0,0
35,1,35,3,2,1,0,0,1
36,1,36,2,3,1,0,0,0
37,1,37,1,2,1,0,0,0
38,1,38,2,1,1,0,0,0
39,1,39,3,2,1,0,0,1
40,1,40,2,3,1,0,0,0
41,1,41,1,2,1,0,0,0
42,1,42,2,1,1,0,0,0
43,1,43,3,2,1,0,0,0
44,1,44,2,3,1,0,0,0
45,1,45,1,2,1,0,0,0
46,1,46,2,1,1,0,0,0
47,1,47,3,2,1,0,0,0
48,1,48,2,3,1,0,0,0
49,1,49,1,2,1,0,0,0
50,1,50,2,1,1,0,0,0
51,2,1,3,15,2,0,0,0
52,2,2,2,16,5,0,0,1
53,2,3,1,17,6,0,0,0
54,2,4,2,18,3,0,0,0
