Uid,Organization uid,User uid,Account uid
1,1,main,1
2,1,main,2
3,1,main,3
4,1,main,4
5,1,main,5
6,1,main,6
7,1,main,7
8,1,main,8
9,1,main,9
10,1,main,10
11,1,1001,11
12,1,1001,12
13,1,1001,13
14,1,1001,14
15,1,1001,15
16,1,2001,16
17,1,2001,17
18,1,2001,18
19,1,2001,19
20,2,main,51
21,2,main,52
22,2,main,53
23,2,main,54
24,2,main,55
25,2,main,56
26,2,main,57
27,2,main,58
28,2,main,59
29,2,main,60
30,2,1002,61
31,2,1002,62
32,2,1002,63
33,2,1002,64
34,2,1002,65
35,2,1002,66
36,2,1002,67
37,2,1002,68
38,2,1002,69
39,2,2002,70
40,2,2002,71
41,2,2002,72
42,2,2002,73
43,2,2002,74
44,2,2002,75
45,2,2002,76
46,2,2002,77
47,2,2002,78
